class_id	student_id	sentence_id	sentence	TRANSLATION	gibbs	gibbs options	emotions
FAU	1	1	Es ist interessant, über den aktuellen Forschungsstand des Themas zu lesen und ihn mit den eigenen Erfahrungen+Beobachtungen zu vergleichen.	" "" It is interesting to read about the current research on the topic and compare it with my own experiences+observations. "" "	2.0	2,1	interest
FAU	1	2	Ich empfand das Fallbeispiel als sehr „gestelzt“ und nicht klar nachvollziehbar, ansonsten hätte ich mich sehr gut vorbereitet gefühlt.	" "" I felt the case study was very ""stilted"" and not clear to follow  otherwise I would have felt very well prepared. "" "	3.0	2,3,1	disaprov
FAU	1	3	Das denke ich, ja.	" "" I think so  yes. "" "	2.0	2	aprov
FAU	1	4	Den Unterricht gedanklich durchzugehen.	" "" Going through the lessons mentally. "" "	0.0	0	0
FAU	1	5	Ja, sehr konzentriert.	" "" Yes  very focused. "" "	2.0	0,1,2	aprov
FAU	1	6	S.o	" "" S.o "" "	0.0	0	0
FAU	1	7	Gut.	" "" Good. "" "	2.0	2	aprov
FAU	1	8	Bereichert.	" "" Enriched. "" "	2.0	2	appre
FAU	1	9	Ich bleibe bei meiner Lösung.	" "" I'll stick with my solution. "" "	5.0	5	determination
FAU	1	10	Die Reflexion ist angenehm, da sie mir veranschaulicht, wie ich mit dem Thema  Klassenmanagement und Umgang mit Störungen umgegangen bin.	" "" The reflection is enjoyable because it illustrates to me how I handled the issue of class management and dealing with disruptions. "" "	3.0	1,2,3,4	joy
FAU	1	11	Positiv.	" "" Positive. "" "	2.0	2	approv
FAU	2	0	Ziemlich motiviert, Klassenmanagement und der Umgang mit Störungen sind in meinen Augen eine der wichtigsten Themen.	" "" Quite motivated  class management and dealing with disruptions are one of the most important issues in my eyes. "" "	3.0	1, 2,3	motivated
FAU	2	1	Sehr, s.o.	" "" Very  see above "" "	0.0	0	0
FAU	2	2	Was die Materialien angeht, ziemlich gut, auch mit der weiteren Literatur usw.	" "" As for the materials  pretty good  also with the further literature etc. "" "	2.0	2	appre
FAU	2	3	Was mein Vorwissen angeht, weniger gut …hoffentlich!	" "" As for my prior knowledge  not so good ...hopefully! "" "	2.0	2	appre, optm
FAU	2	4	Mich in die Situation hineinzuversetzen, mir zu überlegen wie ich damit umgehen würde. ja.	" "" Putting myself in the situation  thinking of how I would deal with it. yes. "" "	0.0	0	0
FAU	2	5	Recht gut.	" "" Quite well. "" "	2.0	2	appre
FAU	2	6	Mit allem was schriftliche Aufgaben usw. angeht recht gut, selbstständiges Lernen auf StudOn fällt mir ohne synchrone Vorlesungen schwerer.	" "" With everything regarding written assignments etc. pretty good  independent learning on StudOn is harder for me without synchronous lectures. "" "	2.0	1,2	approv, challeng-n
FAU	2	7	Um einiges besser als davor	" "" A lot better than before "" "	2.0	2	approv
FAU	2	8	Mein Fokus lag evtl. ein bisschen zu sehr auf den theoretischen Grundlagen und zu wenig auf der praktischen Umsetzung …reflektiert.	" "" My focus was possibly a bit too much on the theoretical basics and not enough on the practical implementation ...reflected. "" "	2.0	2	regret
FAU	2	9	Gut, hat mir jedenfalls sehr weitergeholfen	" "" Good  has helped me in any case very much "" "	2.0	2	aprov
FAU	3	0	Mit Hinblick auf mein bevorstehendes pädagogisch-didaktisches Praktikum wollte ich gerne etwas über die Thematik lernen und war daher motiviert und hatte ein reges Interesse daran.	" "" With regard to my upcoming pedagogical-didactic internship  I wanted to learn something about the topic and was therefore motivated and had a keen interest in it. "" "	1.0	0,1,3	motiv, inter
FAU	3	1	Durch das Lesen des Skriptes habe ich mich gut vorbereitet gefühlt auf die Fragestellung, wobei hier vor allem die Sicherheit geholfen hat, jeder Zeit nachschlagen zu können.	" "" By reading the script I felt well prepared for the question  whereby here especially the security helped to be able to look up at any time. "" "	3.0	1, 3	appre
FAU	3	2	Die Aufgabe selbst war für mich klar verständlich.	" "" The task itself was clearly understandable for me. "" "	2.0	2	approv
FAU	3	3	Während des Lesens des Skriptes war ich nicht sonderlich konzentriert, da ich die meisten Inhalte für reinen Menschenverstand halte.	" "" While reading the script I was not particularly concentrated  as I consider most of the content to be pure common sense. "" "	2.0	2, 3	bored
FAU	3	4	Bei der Aufgabe hingegen hat sich während dem Schreiben ein immer größeres Interesse entwickelt.	" "" With the assignment  on the other hand  I developed more and more interest during the writing process. "" "	2.0	1,2	int
FAU	3	5	Ich habe mich selbst in die Situation versetzt gefühlt und wollte für mich eine bestmögliche Lösung finden, um auch für spätere Situationen in meinem Arbeitsalltag vorbereitet zu sein.	" "" I felt myself put in the situation and wanted to find the best possible solution for myself in order to be prepared for later situations in my daily work. "" "	2.0	0,2,3	challeng
FAU	3	6	Ich hatte Spaß daran, mir vorzustellen, wie die Konflikte erfolgreich bewältigt werden und ein positives Unterrichtsklima entsteht.	" "" I enjoyed imagining how the conflicts would be successfully managed and how a positive classroom climate would be created. "" "	1.0	1	joy
FAU	3	7	Das Erarbeiten auf Studon hat mich zeitweise etwas verwirrt und ich hoffe, dass ich die Aufgaben nun richtig interpretiert habe.	" "" Working out on Studon left me a little confused at times and I hope I have now interpreted the tasks correctly. "" "	1.0	1	conf, optm
FAU	3	8	Im Skript stand etwas von drei Handlungsansätzen zu dem dort gemeinten Beispiel und in der Übungseinheit steht ein anderes Fallbeispiel.	" "" In the script there was something about three courses of action for the example meant there and in the exercise unit there is another case study. "" "	0.0	0	0
FAU	3	9	Ich habe nicht so viel gelernt, wie ich mir erhofft hatte, da doch einiges schon (unterbewusst) vorhanden war.	" "" I did not learn as much as I had hoped  because some things were already there (subconsciously). "" "	3.0	2,3	 disapo
FAU	3	10	Ich hätte mir etwas mehr „neue Erkenntnisse“ gewünscht.	" "" I would have liked a little more ""new knowledge"". "" "	4.0	1,4	pity
FAU	3	11	Mehr konkrete Handlungsbeispiele, die man nicht aus dem eigenen Unterricht als Schüler/-in kennt, wären bereichernd gewesen.	" "" More concrete examples of action that one does not know from one's own teaching as a student would have been enriching. "" "	4.0	1,4	pity
FAU	3	12	Die Ansätze aus dem Skript habe ich verstanden und in ihren Grundzügen auch im Gedächtnis gespeichert.	" "" I understood the approaches from the script and also stored them in my memory in their main features. "" "	0.0	0	0
FAU	3	13	Mit meiner Erarbeitung zum Fallbeispiel bin ich zufrieden.	" "" I am satisfied with my development of the case study. "" "	1.0	1	satisf
FAU	3	14	Dort konnte ich erlerntes vor allem mit Hinblick auf die Situationsanalyse direkt anwenden.	" "" There I could directly apply what I had learned  especially with regard to the situation analysis. "" "	3.0	3	anticip
FAU	4	0	Vor der Bearbeitung der Aufgabe, habe ich mich etwas unsicher, aber zumindest allgemein gut vorbereitet gefühlt, da ich mir bereits die vertonten Vorlesungsfolien, die Skripte aus dem Basisseminar und der Vorlesung angesehen und diese durchgearbeitet hatte sowie in die angegebene Literatur hineingelesen hatte.	" "" Before working on the task  I felt a little uncertain  but at least generally well prepared  since I had already looked at and worked through the lecture slides set to music  the scripts from the basic seminar and the lecture  and had also read through the literature given. "" "	1.0	0,1	uncertainty, approv
FAU	4	1	Dies war meine erste Herangehensweise: Informationen sammeln und so gut wie möglich zu der Thematik vorinformieren bzw. für Verständnis und Überblick sorgen.	" "" This was my first approach: Gathering information and pre-informing as best I could on the subject matter or providing an understanding and overview. "" "	0.0	0	0
FAU	4	2	Der zweite Schritt war dann ein Verständnis des Arbeitsauftrages und welche Form diese Ausarbeitung einnehmen sollte.	" "" The second step was then an understanding of the work assignment and what form this elaboration should take. "" "	0.0	0	0
FAU	4	3	Diese hat mir einige Probleme bereitet (siehe Reflexion zur Situation während der Bearbeitung).	" "" This one caused me some problems (see reflection on the situation during editing). "" "	1.0	1	challeng-n
FAU	4	4	Die Lerninhalte empfand ich als sehr aufschlussreich und in ihren abstrakten Grundzügen gut zu verstehen und anzuwenden.	" "" I found the learning content very informative and easy to understand and apply in its abstract outlines. "" "	2.0	2	appre
FAU	4	5	Jedoch erschienen sie mir in ihrer Fülle schwer zusammenfassbar, ohne evtl. wichtige Punkte zu vernachlässigen.	" "" However  they seemed to me difficult to summarize in their abundance without possibly neglecting important points. "" "	2.0	2,3	challeng
FAU	4	6	Dies war für mich auch ein Hindernis in der Bearbeitung der schriftlichen Aufgabe.	" "" This was also an obstacle for me in working on the written assignment. "" "	1.0	1	challeng-n
FAU	4	7	Die größte Hürde lag für mich jedoch in der Unwissenheit bzw. Offenheit zu der Form, dem Umfang und der Struktur, die die Bearbeitung dieser Aufgabe haben sollte.	" "" However  the biggest obstacle for me was the ignorance or openness to the form  scope and structure that the processing of this task should have. "" "	2.0	2	challeng-n
FAU	4	8	Ist es eher Prüfungsaufgabencharakter oder geht es von der Bearbeitung eher in Richtung Hausarbeit.	" "" Is it more of an examination task character or does it go more in the direction of a homework from the processing. "" "	3.0	3	pensv
FAU	4	9	Dies spiegelt sich auch in meiner Ausarbeitung wider, welche ich mehrmals strukturmäßig überarbeitet habe, ohne eine Lösung zu finden, die mich vollends überzeugt hätte.	" "" This is also reflected in my elaboration  which I have revised several times in terms of structure  without finding a solution that would have fully convinced me. "" "	0.0	0,2,3	frustrs
FAU	4	10	Auch die Bearbeitungstipps haben mir hier nicht weitergeholfen.	" "" Even the editing tips did not help me here. "" "	0.0	0,1	challeng-n
FAU	4	11	Ein Beispiel, was für die Analyse eines Fallbeispiels die wichtigsten Eckpunkte darstellt oder wie so etwas strukturiert werden kann, konnte ich mir leider nicht richtig erschließen und das wird für mich für die Zukunft und das weitere Studium eine wichtige Aufgabe darstellen.	" "" An example of what represents the most important key points for the analysis of a case study or how something like this can be structured  I could unfortunately not really figure out and this will be an important task for me for the future and further studies. "" "	5.0	0,1,2,5	frustrs, reg
FAU	4	12	Mit meinem Lernergebnis mit dieser Lerneinheit bin ich sehr zufrieden.	" "" I am very satisfied with my learning result with this learning unit. "" "	1.0	1	satisf
FAU	4	13	Ich habe einiges Neues für die spätere Praxis entdeckt und insbesondere mit der Handlungsmatrix nach Becker ein gutes Praxistool für die Konflikt und Störungsanalyse kennengelernt.	" "" I have discovered some new things for later practice and  in particular  with the action matrix according to Becker  I have become acquainted with a good practical tool for conflict and disturbance analysis. "" "	0.0	0	0
FAU	4	14	Die vielseitigen Strategien, Betrachtungsmöglichkeiten und Handlungsmöglichkeiten zum Klassenmanagement waren sehr einprägend und fühlen sich wie eine gute erste Vorbereitung auf die spätere Praxis an.	" "" The versatile strategies  possibilities of consideration and possibilities of action for class management were very memorable and feel like a good first preparation for later practice. "" "	2.0	1, 2	appreciation, anticipation
FAU	4	15	Mit dem Ergebnis meiner schriftlichen Aufgabe bin ich sowohl zufrieden als auch unzufrieden.	" "" I am both satisfied and dissatisfied with the outcome of my written assignment. "" "	1.0	1,2	appreciation, disapproval, ambv
FAU	4	16	Ich bin aus meiner Sicht auf alle Punkte der Aufgabenstellung eingegangen und konnte aus der Bearbeitung des Fallbeispiels einige für mich aufschlussreiche Schlüsse und Handlungsoptionen ziehen.	" "" From my point of view  I addressed all points of the assignment and was able to draw some conclusions and possible courses of action from the processing of the case study that were informative for me. "" "	0.0	0, 2, 4	appreciation
FAU	4	17	Mir erscheint aber gleichzeitig eine strukturiertere, tiefere Analyse möglich, für die mir jedoch bei der vorliegenden Ausarbeitung die Ressourcen oder die Erkenntnisse verschlossen blieben.	" "" At the same time  however  a more structured  deeper analysis seems possible to me  for which  however  the resources or the insights remained closed to me in the present elaboration. "" "	3.0	3,4	anticip
FAU	5	0	Ich habe mich auf Instruktionen eingestellt, wie ich als zukünftige Lehrkraft Probleme und Unterrichtsstörungen bewältigen und situationsge.	" "" I set myself up for instruction on how to manage and situations problems and classroom disruptions as a future teacher. "" "	0.0	0	anticipation
FAU	5	1	Mir wurde erst hierbei deutlich wie relevant	" "" It only became clear to me during this process how relevant "" "	2.0	2	surprise
FAU	5	2	es ist nicht nur im Nachhinein zu intervieren, sondern auch im vorhinein deutliche Regeln zu definieren um allen Schülern und Schülerinnen als auch der Lehrkraft selbst ein lehren und lernen in einem angenehmen Klassenklima zu ermöglichen.	" "" it is not only to intervene in retrospect  but also to define clear rules in advance in order to enable all students as well as the teacher himself to teach and learn in a pleasant classroom climate. "" "	3.0	3	0
FAU	5	3	Schlussendlich muss ich sagen, dass mich das Beschäftigen mit der Thematik Störungen im Unterricht gezeigt hat, dass es einen störungsfreien Unterricht nicht gibt.	" "" Finally  I must say that dealing with the issue of disruptions in the classroom has shown me that there is no such thing as a disruption-free classroom. "" "	4.0	4	challenge, acceptance
FAU	5	4	Diese müssen als Lehrkraft nur situationsgemäß, oft spontan und richtig gemeistert werden, um das Klassenklima für alle zu gewähren.	" "" These must be mastered as a teacher only situationally  often spontaneously and correctly  in order to grant the class climate for all. "" "	3.0	3	challenge
FAU	5	5	Dieser Gedanke hat mich in Hinblick auf meine hoffentlich zukünftige Ausübung als Lehrkraft sehr bereichert.	" "" This thought has enriched me very much with regard to my hopefully future practice as a teacher. "" "	2.0	2, 1	appreciation, optm
FAU	6	0	Rückblickend kann ich sagen, dass die Aufgabe sehr interessant und spannend zu bearbeiten war.	" "" Looking back  I can say that the task was very interesting and exciting to work on. "" "	2.0	2, 1	interest, exc
FAU	6	1	Zuvor hatte ich sowohl die Vorlesung als auch das Basisseminar mit den entsprechenden Texten durchgearbeitet und übersichtlich zusammengefasst.	" "" Previously  I had worked through both the lecture and the basic seminar with the relevant texts and summarized them clearly. "" "	0.0	0	0
FAU	6	2	Bei der Aufgabe selbst, kam es am Anfang zu ersten Startschwierigkeiten, da ich nicht wusste, wie ich am besten anfangen sollte, nach und nach, mit intensiver Beschäftigung des Themas, ging die Analyse dann eigentlich ganz gut von der Hand.	" "" With the task itself  it came at the beginning to first start difficulties  because I did not know how I should start best  gradually  with intensive occupation of the topic  the analysis went then actually quite well from the hand. "" "	3.0	2, 3, 4	challenge, uncertainty, relief
FAU	6	3	Vor allem die Kombination aus den Inhalten der Vorlesung und dem Basisseminar war bei der Bearbeitung beider Teilaufgaben äußerst hilfreich!	" "" Especially the combination of the contents of the lecture and the basic seminar was extremely helpful in working on both sub-tasks! "" "	2.0	2, 3	appreciation
FAU	6	4	Im zweiten Teil der Aufgabe habe ich mich allerdings etwas schwieriger getan, da ich nicht wusste, welchen „Ansatz“ ich am besten für so eine, doch komplexe, Situation nehmen soll, die Prinzipien effizienter Klassenführung nach Kounin erschienen mir nicht effizient genug.	" "" In the second part of the task  however  I struggled a bit more  because I did not know which ""approach"" I should best take for such a  yet complex  situation  the principles of efficient class management according to Kounin did not seem efficient enough to me. "" "	2.0	1, 2, 3	challenge-n, disapproving
FAU	6	5	Auch die Streitschlichtung empfand ich, wie oben bereits geschrieben, eher sinnvoll für einen Konflikt zwischen Schüler*innen selbst.	" "" I also found dispute resolution  as already written above  rather useful for a conflict between students* themselves. "" "	2.0	2	appreciation
FAU	6	6	Nachdem ich mich für die Handlungsmatrix entschieden hatte, hatte ich noch einige Zweifel, hoffe aber, dass dieser Ansatz doch einigermaßen angemessen ist.	" "" After I decided to use the action matrix  I still had some doubts  but I hope that this approach is reasonably appropriate after all. "" "	4.0	0,1, 2, 4	insecure, opt
FAU	6	7	Was ich jedoch noch zusätzlich ergänzen würde, wäre das frühere Miteinbeziehen der Klasse selbst.	" "" However  what I would add in addition would be the earlier involvement of the class itself. "" "	3.0	3, 4	regret
FAU	6	8	Da ich glaube, dass dadurch ein besseres Verständnis beider Seiten entstehen kann.	" "" Since I believe that this can lead to a better understanding of both sides. "" "	2.0	2, 4	anticipation
FAU	6	9	Ich hoffe die Aufgabe wurde ausreichend und zu Ihrer Zufriedenheit bearbeitet.	" "" I hope the assignment was handled sufficiently and to your satisfaction. "" "	4.0	1,4	optimism
FAU	7	0	"""Ich bin motiviert an die Aufgabe herangegangen, da es durch das Fallbeispiel etwas Praxisnahes ist."	" "" ""I approached the task with motivation  as it is something practical due to the case study. "" "	3.0	1, 2,3	motivated
FAU	7	1	Ich finde es sehr interessant, da man das bestimmt häufig später in seinem eigenen Unterricht erleben wird und sich nun schonmal damit auseinander gesetzt hat, wie man eventuell mit Unterrichtsstörungen umgehen sollte.	" "" I find it very interesting  as you will certainly experience this frequently later in your own teaching and have now already dealt with how you should possibly deal with classroom disturbances. "" "	3.0	1, 2, 3	anticipation, int, certainty
FAU	7	2	Anfangs leider nicht so gut, da es leider keine Vorlesungen gab, wo einem der Inhalt der Folien noch einmal in anderen Worten erklärt wurde.	" "" In the beginning  unfortunately  not so good  because unfortunately there were no lectures where the content of the slides was explained to you again in other words. "" "	3.0	1,2,3	annoyed, disaprov, regret
FAU	7	3	Mithilfe der Tipps wusste ich, was und wie ich die Aufgabe bearbeiten soll.	" "" With the help of the tips I knew what and how to work on the task. "" "	0.0	2, 0	0
FAU	7	4	Der praxisnahe Bezug mit dem Fallbeispiel, da man sich so gut in einer vielleicht später im Berufsleben reale Situation hineindenken konnte und selbst überlegen konnte, wie man damit umgehen würde bzw. umgehen sollte.	" "" The practical reference with the case study  because you could think yourself so well in a perhaps later in professional life real situation and could think for yourself how you would deal with it or should deal with it. "" "	3.0	3	anticipation
FAU	7	5	Ja, aber nur wenn ich immer wieder Pausen eingelegt habe, da das Lesen und Verstehen der Literatur viel Zeit und Konzentration in Anspruch genommen hat.	" "" Yes  but only when I kept taking breaks  since reading and understanding the literature took a lot of time and concentration. "" "	3.0	3	aprov, challenge
FAU	7	6	Mit den gegebenen Hilfestellungen gut;	" "" With the assistance given  good; "" "	2.0	2	approv
FAU	7	7	ohne diese jedoch wäre mir nicht ganz klar gewesen, wie ich an die Aufgabe herangehen kann/soll.	" "" without them  however  it would not have been entirely clear to me how I could/should approach the task. "" "	4.0	2,4	appre
FAU	7	8	Mir helfen online Vorlesunge die Thematik besser zu verstehen als komplett selbstständiges Lernen.	" "" Online lectures help me understand the subject matter better than completely independent learning. "" "	2.0	2, 0	appreciation
FAU	7	9	Besser als vorher, da ich mich in diesem Kurs zum ersten Mal richtig mit dieser Thematik beschäftigt habe.	" "" Better than before  since this course was the first time I really dealt with this topic. "" "	3.0	2, 3	appreciation
FAU	7	10	Ich glaube, dass meine Lösung gut ist, aber bestimmt auch ausbaufähig.	" "" I think that my solution is good  but definitely expandable. "" "	2.0	2, 4	appreciation
FAU	7	11	Ähnlich wie meine Lösung.	" "" Similar to my solution. "" "	0.0	0	0
FAU	7	12	"Ich habe mein Bestes gegeben und hoffe, dass ich die Aufgabe richtig verstanden und bearbeitet habe"""	" "" I did my best and I hope that I understood and worked on the task correctly"" "" "	4.0	1,2,4	appre, opt, insecure
FAU	8	0	Für meine Verhältnisse motiviert, da ich das Thema interessant finde und es einen Praxisbezug aufweist, welchen ich in anderen Studienfächern oftmals vermisse Sehr, da Störungen später zum Alltag dazugehören werden und der souveräne Umgang mit ihnen unvermeidbar ist.	" "" Motivated by my standards  because I find the topic interesting and it has a practical relevance  which I often miss in other subjects of study Very  because disturbances will later be part of everyday life and the confident handling of them is unavoidable. "" "	3.0	1, 2, 3	motivated, interest, anticipation, acceptance
FAU	8	1	Ich finde die Online VL + Folien waren ausreichend um die Aufgabe gut bearbeiten zu können.	" "" I find the online VL + slides were sufficient to be able to work on the task well. "" "	2.0	2	appre
FAU	8	2	Ich hoffe doch.	" "" I hope so. "" "	1.0	1	optimism
FAU	8	3	Also aus meiner subjektiven Sicht ein klares ja.	" "" So from my subjective point of view a clear yes. "" "	0.0	0,4	approval, confidence
FAU	8	4	Sich in die Lage eines Lehrers hineinzuversetzen, dem gerade ein nasser Schwamm ins Gesicht geworfen wurde.	" "" To put yourself in the position of a teacher who has just had a wet sponge thrown in his face. "" "	3.0	0,3	challenge-n
FAU	8	5	Ist ja doch eher untypisch - Ja, keinerlei Ablenkungen und mein Lösungsversuch schrieb sich fast wie von selbst -	" "" It is rather untypical - Yes  no distractions whatsoever and my attempted solution almost wrote itself - "" "	3.0	0, 2,3	surprise
FAU	8	6	Ich habe mir Gedanken drüber gemacht, probiert mich in die Situation zu versetzen und dann recht zügig mit der Bearbeitung begonnen.	" "" I thought about it  tried to put myself in the situation and then started quite quickly with the processing. "" "	0.0	0	0
FAU	8	7	Nach ca. der Hälfte habe ich den Hinweis doch noch angesehen, um zu überprüfen ob es in die richtige Richtung geht.	" "" After about halfway through  I did look at the clue to check if it was going in the right direction. "" "	0.0	0	0
FAU	8	8	Insgesamt denke ich, dass es passt, aber ich bin etwas unsicher ob meine Reflexionen detailliert genug sind, da ich noch nicht wirklich ein Reflexionsexperte bin.	" "" Overall I think it fits  but I'm a little unsure if my reflections are detailed enough since I'm not really a reflection expert yet. "" "	4.0	1,2,3,4	insecure, uncertainty
FAU	8	9	Man lernt nie aus…	" "" You never stop learning... "" "	0.0	0,2, 4	accepting
FAU	8	10	Mein Urteil: ich habe den Inhalt der VL verstanden und kann ihn mir, ohne weiteres Nachlesen, merken.	" "" My verdict: I understood the content of the VL and can remember it  without further re-reading. "" "	4.0	0, 4	appre,confident
FAU	8	11	Wie schon in einer der vorherigen Reflexionen, immer noch als gut.	" "" As in one of the previous reflections  still as good. "" "	2.0	2	appreciation
FAU	8	12	Hier hat sich nichts an meiner Meinung geändert.	" "" Nothing has changed in my opinion here. "" "	0.0	0, 2,4	0
FAU	8	13	Ich denke ich habe wichtige Punkte erkannt und ein ordentliches Ergebnis hingekriegt.	" "" I think I have recognized important points and managed to get a decent result. "" "	2.0	2,4	satisfaction, confid
FAU	8	14	Ich bin noch sehr ungeübt in Reflexionen, also würde ich sagen das hier noch Luft nach oben ist.	" "" I am still very unpracticed in reflections  so I would say that there is still room for improvement here. "" "	2.0	2, 4	insecurity, acceptance, +anticipation
FAU	8	15	Insgesamt als grundsolides Gesamtergebnis.	" "" Overall as a rock solid overall result. "" "	4.0	2,4	approving,certain
FAU	9	0	Ich fand die Aufgabe sehr interessant und gut ausgewählt.	" "" I found the task very interesting and well chosen. "" "	2.0	1, 2	interest, approving
FAU	9	1	Ich habe dieses Semester ein Blockseminar bei Frau Truckenbrodt zur wertschätzenden Kommunikation und zum Umgang mit schwierigen Eltern und Schülern belegt.	" "" I took a block seminar with Ms. Truckenbrodt this semester on appreciative communication and dealing with difficult parents and students. "" "	0.0	0	0
FAU	9	2	Von daher konnte ich mich schnell in das Thema ein finden.	" "" From there  I was able to quickly find my way into the topic. "" "	0.0	0	approv
FAU	9	3	Ich war nur anfangs etwas verwirrt von den verschiedenen Abgabeformularen und war mir nicht sicher ob ich jetzt ein Dokument oder fünf einreichen soll, das habe ich dann aber doch herausfinden können.	" "" I was just a little confused at first by the different submission forms and wasn't sure if I should submit one document or five now  but I was able to figure that out. "" "	1.0	1, 2	confused, uncertainty, relief, challenge
FAU	9	4	Es ist mir relativ schwer gefallen mich durch die Vorlesungsfolien durchzulesen, ich habe mehrere Pausen gemacht und mir dann unklare Inhalte in der Vorlesungsaufzeichnung noch einmal anschauen müssen.	" "" It was relatively difficult for me to read through the lecture slides  I took several breaks and then had to look at unclear content in the lecture recording again. "" "	2.0	2	challenge-n
FAU	9	5	Mir fällt das selbstständige Erarbeiten von Inhalten allerdings generell recht schwer.	" "" However  I generally find it quite difficult to work through content independently. "" "	2.0	2	challenge
FAU	9	6	Ich kann mich schlecht auf Videoaufnahmen konzentrieren und schweife beim Lesen von pdfs oft ab und muss von vorne beginnen.	" "" I have a hard time concentrating on video recordings and often digress when reading pdfs and have to start over. "" "	2.0	2, 0	challenge
FAU	9	7	Daher brauche ich viele Pausen.	" "" Therefore  I need a lot of breaks. "" "	4.0	 0,3,4	0
FAU	9	8	Die schriftliche Aufgabe erschien mir jetzt nicht besonders schwer, ich habe sie recht schnell schreiben können.	" "" The written task didn't seem particularly difficult to me now  I was able to write it quite quickly. "" "	2.0	2	satisfaction
FAU	9	9	Allerdings bin ich mir nicht ganz sicher ob ich die Aufgabe so erfüllt habe, wie das gewollt war.	" "" However  I am not quite sure if I completed the task as it was intended. "" "	2.0	1,2	insecurity
FAU	9	10	Ich denke, dass ich durch die Aufgabe schon gezwungen war mich intensiver mit den Themeninhalten auseinanderzusetzen, als ich es sonst tue.	" "" I think that I was already forced by the task to deal with the subject contents more intensively than I usually do. "" "	2.0	2	challenge
FAU	9	11	Außerdem hat mich das Thema interessiert.	" "" Besides  the topic interested me. "" "	2.0	2	interest
FAU	9	12	Daher denke ich schon, dass ich hier viel mitgenommen habe.	" "" Therefore  I already think that I have taken a lot with me here. "" "	4.0	2, 4	satisfaction
FAU	9	13	Ich hoffe, dass ich die Aufgabe an sich gut und richtig erfüllt habe.	" "" I hope that I have done the task well and properly in itself. "" "	2.0	2	opt
FAU	9	14	Ich habe aber ein generell positives Gefühl.	" "" But I have a generally positive feeling. "" "	1.0	1,2	joy,opt
FAU	10	0	Ich fand das Thema bisher am spannendsten bei Schulpädagogik und war motiviert das Thema zu bearbeiten.	" "" I found the topic most exciting so far in school pedagogy and was motivated to work on the topic. "" "	1.0	1, 2	exciting, motivated
FAU	10	1	Auch nachdem ich die Vorlesung bearbeitet habe, hat mich das Thema noch sehr interessiert, da es praxisorientierter als die anderen Vorlesungen waren, die ich manchmal schon sehr anstrengend finde.	" "" Even after I worked on the lecture  the topic still interested me a lot  because it was more practice-oriented than the other lectures  which I sometimes already find very exhausting. "" "	3.0	1,2, 3	interest,  challenge-n
FAU	10	2	Allerdings war ich mit dem Format der Bearbeitung zu Beginn überfordert.	" "" However  I was overwhelmed with the format of editing at the beginning. "" "	2.0	2, 1	challenge
FAU	10	3	Ich habe zuerst das System mit den Tipps nicht verstanden und dachte 1-5 sind verschiedene Aufgaben.	" "" I didn't understand the system with the tips at first and thought 1-5 are different tasks. "" "	2.0	2	frustrated, challenge-n
FAU	10	4	Habe dann auch erst den Sinn nicht verstanden.	" "" Then also did not understand the meaning at first. "" "	2.0	1,2	frustrated
FAU	10	5	Außerdem finde ich, es sollte der Umfang der Aufgabe angegeben sein.	" "" Besides  I think it should be indicated the scope of the task. "" "	2.0	2	disapproving
