coll_lecture	coll_session	subj	text_id	sentence	sentences english	gibs	label_ref	sentiment	gibbs	gibbs.1
swp	2	12	0	Möglicherweise sollten wir uns in unserer Planung etwas näher an die Hardware & Software-Gegebenheiten halten.	May need to be a little closer to hardware & software realities in our planning.		1	3	2022-03-02 00:00:00	3
swp	2	13	0	Hatte einige Diskussionen mit den Teammitgliedern und schloss die erste Präsentation ab	Had some discussions with team members and concluded the first presentation		0	3	0	0
swp	2	15	0	Wir haben die Meilensteine vorbereitet und waren viel mit E-Mail Korrespondenz beschäftigt.	We prepared the milestones and were busy with email correspondence.		0	3	0	0
swp	2	15	0	Es ist etwas schwierig den Überblick im offiziellen Google Dokument zu behalten.	It is a bit difficult to keep track of the official Google document.		1	2	2	2
swp	2	0	1	Pojektplanung	Project planning		0	3	0	0
swp	2	1	1	noch dabei sich reinzulesen	still reading in		0	3	0	0
swp	2	2	1	habe einsichten in vorgehensweisen erhalten, alles richtig gemacht	got insights into procedures, did everything right		0	3	0	0
swp	2	3	1	Noch nicht viel gelernt	Not much learned yet		0	3	0	0
swp	2	4	1	Sehr viel neues über die Infrastrucktur gelernt und das allgemeine Thema	Learned a lot of new things about the infrastructure and the general topic.		1	3	0	0
swp	2	5	1	Bisher nicht viel, etwas an basics...	Not much so far, something about basics....		0	3	0	0
swp	2	5	1	Noch keine größeren Sinneswandel o.ä.	No major change of mind or similar yet.		1	3	0	0
swp	2	6	1	Bis dato habe ich leider noch nicht viel Zeit in das Softwareprojekt gesteckt.	So far I haven't put much time into the software project unfortunately.		1	2	0	0
swp	2	6	1	Ich fühle mich mit dem Semester etwas überfordert und habe Schwierigkeiten mit dem Zeitmanagement.	I feel a bit overwhelmed with the semester and am having trouble with time management.		1	2	2022-01-02 00:00:00	1
swp	2	7	1	Ich habe gelernt, wie man ssh benutzt und wie man einen Remote-Server in der ML-Entwicklung benutzt	I have learned how to use ssh and how to use a remote server in ML development		1	3	0	0
swp	2	8	1	Im Vergleich zu letzter Woche habe ich an Selbstbewusstsein verloren.	I have lost confidence compared to last week.		1	2	2	2
swp	2	9	1	Aufgaben besser lesen.	Reading assignments better.		0	3	0/2	0
swp	2	9	1	Ansonsten gute Zusammenarbeit in der Gruppe.	Otherwise good cooperation in the group.		1	4	2022-02-01 00:00:00	1
swp	2	10	1	Mehr lesen und öfter alle Kommunikationskanäle checken.	Read more and check all communication channels more often.		0	3	0/2	0
swp	2	11	1	Ich habe neue Leute kennen gelernt und bin glücklich mit meinem Team.	I met new people and am happy with my team.		1	4	1	1
swp	2	12	1	Wir waren an ein paar Punkten blind und haben jetzt einen besseren Überblick.	We were blind at a few points and now have a better overview.		1	6	2	2
swp	2	12	1	Es ist  Neuland, habe ich gemerkt.	It's new territory, I've noticed.		1	3	2022-01-02 00:00:00	1
swp	2	12	1	Die gelernten Sachen können wir definitiv in unser Plan integrieren.	We can definitely integrate the things we learned into our plan.		1	3	0/2	0
swp	2	12	1	Bisschen mehr auf die Requirements von Seiten des Labs achten ist ich glaube die Devise.	I think the motto is to pay a little more attention to the lab's requirements.		1	3	2022-04-03 00:00:00	3
swp	2	13	1	Mir ist klarer, was ich als nächstes tun soll	It is clearer to me what to do next.		1	3	2	2
swp	2	14	1	Ich habe einige Informationen über Modelle gelernt und habe eine Ahnung wie ich mein eigenes Verständnis etwas erweitern kann	I have learned some information about models and have an idea how to expand my own understanding a bit		1	3	0/2	2
swp	2	0	2	Datenbeschaffung	data sourcing		0	3	0	0
swp	2	1	2	mit anderen mitzuhalten, weil mein niveau niedriger ist	keep up with others because my level is lower		1	2	2022-02-03 00:00:00	2
swp	2	2	2	wenig interesse im projekt ursprünlighc	little interest in the project originally		0	6	1	1
swp	2	3	2	Viel warten auf Antworten	A lot of waiting for answers		0	2	0/2	0
swp	2	4	2	Teileweise sind manche technischen Modelle noch schwer zu vertsehen, sehr viel auf einmal	Some technical models are still hard to understand, very much at once		1	2	2	2
swp	2	5	2	Kommunikation, Arbeitsteilung	Communication, division of labor		0	3	0	0
swp	2	6	2	Ich finde es schwer, Uni und Sozialleben in diesen unvorhersehbaren Coronazeiten zu ordnen.	I find it hard to order uni and social life in these unpredictable corona times.		1	2	2022-02-01 00:00:00	1
swp	2	7	2	Keine	No		0	3	0	0
swp	2	8	2	Unwissenheit über die Anzahl der Daten, Vorgehensweisen, Zeitplan	Ignorance about the number of data, procedures, schedule.		0	2	0/2	0
swp	2	9	2	Details zu dem Projekt herausfinden und abklären.	Finding out and clarifying details about the project.		0	3	0	0
swp	2	11	2	Die größte Herausforderung war es Kontakt zu Team Membern aufzubauen.	The biggest challenge was establishing contact with team members.		1	2	2	2
swp	2	12	2	Latency ist ein großes Problem.	Latency is a big issue.		1	2	2022-02-03 00:00:00	3
swp	2	12	2	Ich hoffe wir können das alles klären und das wird nicht Mehrarbeit heißen.	Hope we can sort it all out and it won't mean extra work.		1	6	2022-05-02 00:00:00	5
swp	2	13	2	nicht viel Erfahrung mit Softwareprojekt	Not much experience with software project		1	2	0/2	0
swp	2	14	2	Ich hatte etwas Probleme in das Thema rein zu kommen aber ich vermute dass sich das mit etwas Recherche verbessern wird	I had some problems to get into the topic but I guess that will improve with some research.		1	6	2/3/4/	4
swp	2	15	2	Uns fehlten Informationen um vernünftig zu planen.	We lacked information to plan reasonably.		1	2	2	2
swp	2	1	3	angst die ganze zeit dumme und selbstverständliche fragen zu stellen, sodass keiner mit mir arbeiten will	afraid to ask stupid and obvious questions all the time so no one wants to work with me		1	1	3	2
swp	2	2	3	Sehr positiv überrascht über den Spass den das Projekt macht und die Leute mit denen ich zusammenarbeite	Very positively surprised about the fun of the project and the people I work with		1	5	1	1
swp	2	4	3	Ich finde das Thema sehr spannend und freue mich auf die Arbeit auch wenn es häufig sehr schwirieg ist	I find the topic very exciting and look forward to the work even if it is often very difficult.		1	6	2022-02-01 00:00:00	1
swp	2	5	3	Motivation hat sich etwas verbessert, nach Gespräch mit Supervisor, einiges ist klarer geworden.	Motivation has improved a bit, after talking with supervisor, some things have become clearer.		1	4	2	2
swp	2	5	3	Interesse ist weiterhin da!	Interest is still there!		1	4	1	1
swp	2	6	3	Ich habe bei Softwareprojekten meistens kein Problem mit dem Code.	I usually have no problem with the code in software projects.		1	4	2/0	0
swp	2	6	3	Ich habe nur überhaupt keine Lust, irgendwelche Pfade umzuändern und Umgebungen einzurichten.	I just have no desire at all to change any paths and set up environments.		1	1	1	1
swp	2	6	3	Wenn das steht, will ich das erstmal für lange Zeit nicht mehr machen müssen.	Once that's in place, I don't want to have to do that for a long time.		1	2	2022-05-01 00:00:00	5
swp	2	6	3	Ich sollte es trotzdem schnell machen.	I should still do it quickly though.		1	3	0/2/5/	5
swp	2	7	3	Ich bin wirklich begeistert, an diesem Projekt zu arbeiten und in die Forschungsarbeit und ein relevantes KI-Projekt involviert zu sein, ich möchte mehr über das Thema lernen.	I'm really excited to work on this project and be involved in research and a relevant AI project, I want to learn more about the subject.		1	5	2022-02-01 00:00:00	2
swp	2	7	3	Ich kann es kaum erwarten, das Endprodukt fertig zu haben.	I can't wait to have the final product ready.		1	4	2022-02-01 00:00:00	2
swp	2	9	3	Es wäre cool, wenn man mehr über das Projekt kommunizieren könnte.	It would be cool to communicate more about the project.		1	2	2	2
swp	2	10	3	Holpriger Start und ich hoffe das wird besser.	Bumpy start and I hope this gets better.		1	6	2022-02-01 00:00:00	1
swp	2	11	3	Zurzeit neutral	Currently neutral		0	3	0	0
swp	2	12	3	Es war eine anstrengende Zeit in den letzten paar Wochen.	It's been a busy time the last couple of weeks.		1	3	2022-02-01 00:00:00	1
swp	2	12	3	Ich hoffe, dass das SWP nicht wieder ein großer Stressfaktor in den nächsten Wochen werden wird.	I hope the SWP doesn't become a big stressor again in the next few weeks.		1	6	2022-04-02 00:00:00	4
swp	2	13	3	Ich freue mich auf die Projektarbeit später	I am looking forward to the project work later		1	4	2022-05-01 00:00:00	5
swp	2	14	3	Bin Motiviert einiges dazu zu lernen und praktische Erfahrungen in dem Themengebiet zu sammeln	I am motivated to learn a lot and to gain practical experience in the subject area.		1	4	2022-02-01 00:00:00	2
swp	2	0	0	WIr haben unser Environment geklärt und einige mögliche Vorgehensweisen besprochen.	We clarified our environment and discussed some possible approaches.		0	3	0	0
swp	2	1	0	We worked on setting up the remote environment and connecting our local notebooks to run on the remote clusters, and we finally managed to run our notebooks remotely on the servers and we also learned how to setup the notebooks to run without internet connection	We worked on setting up the remote environment and connecting our local notebooks to run on the remote clusters, and we finally managed to run our notebooks remotely on the servers and we also learned how to setup the notebooks to run without internet connection.		0	3	0	0
swp	2	2	0	Es war eine sehr gute Erfahrung.	It was a very good experience.		1	5	2022-02-01 00:00:00	1
swp	2	2	0	Unser Superviser ist sehr engagiert und involviert alle Team-Mitglieder.	Our supervisor is very dedicated and involved all team members.		1	4	2	2
swp	2	2	0	"Wir haben eine relativ kleine Gruppe und die Aufgaben sind relativ große Brocken, sodass jeder quasi bei allen mitmacht bzw. zumindest in allen ""Brocken"" auf dem neusten Stand ist."	We have a relatively small group and the tasks are relatively large chunks, so everyone is pretty much up to speed on all of them.		1	3	0/2	0
swp	2	2	0	Die Aufgaben ergeben sich meißt von allein im Bezug auf unser Ziel, oder werden durch Fragen von Professor definiert und sind alle in der Regel interessant und lösbar.	The tasks usually arise by themselves in relation to our goal, or are defined by questions from Professor and are all usually interesting and solvable.		1	4	0/2	0
swp	2	3	0	Ich habe einiges gelesen, GitHub, Labelbox aufgesetzt.	I've done some reading, GitHub, set up Labelbox.		0	3	0	0
swp	2	3	0	Ein Teammitglied hat Colab aufgesetzt, sonst habe ich nicht viel mitbekommen von diesen.	One team member set up Colab, otherwise I didn't notice much of these.		0	3	0	0
swp	2	3	0	Die Entscheidungen wurden bereits vorher gefällt, zusammen (oder eher durch) den Supervisor oder waren einfach offensichtlich/leicht.	Decisions were made before, together (or more likely by) the supervisor or were just obvious/easy.		1	3	0	0
swp	2	4	0	Wir haben viele Entscheidungen unter den 3 Polizeigruppen getroffen.	We made a lot of decisions among the 3 police groups.		0	3	0	0
swp	2	4	0	Das war sehr viel Aufwand, gerade weil auch die Polizei lange braucht um Fragen von uns beantworten zu können.	This was a lot of effort, especially because the police also takes a long time to answer questions from us.		1	2	2022-01-03 00:00:00	1
swp	2	4	0	Wir sind trotzdem gut vorangekommen und haben in mehreren Teamsitzungen viele Entscheidungen zusammen getroffen.	Nevertheless, we made good progress and made many decisions together in several team meetings.		1	4	2	2
swp	2	5	0	Es gab sehr motivierte Teammitglieder, ein paar weniger motivierte.	There were very motivated team members and a few less motivated ones.		1	6	2	2
swp	2	5	0	Wir haben miteinander gesprochen und Aufgaben verteilt.	We talked to each other and distributed tasks.		0	3	0	0
swp	2	5	0	Das Gespräch war gut.	The conversation was good.		1	4	2022-01-02 00:00:00	1
swp	2	5	0	Die Bearbeitung der Trainingsdaten hat Spaß gemacht, wir haben ein paar Sacheng elabelt und konnten schnell in die Erkundung der zu verwendenden Technologien einsteigen.	The processing of the training data was fun, we elablered a few things and were able to quickly get into exploring the technologies to be used.		1	4	2	2
swp	2	5	0	Wir haben uns doch entschieden, mehr auszutesten, was ich gut fand.	We did decide to do more testing, which I thought was good.		1	4	1	1
swp	2	5	0	Single track Ansätze haben oft höhere failure-chancen.	Single track approaches often have higher chances of failure.		0	3	2022-03-02 00:00:00	3
swp	2	6	0	Ich habe mit meiner Gruppe, der externen Interessengruppe, sowie mit den anderen Gruppen meines Projekts zusammengearbeitet.	I worked with my group, the external stakeholder group, as well as with the other groups in my project.		0	3	0	0
swp	2	6	0	Die Kommunikation lief ganz gut und wir konnten in angemessener Zeit Ergebnisse produzieren.	Communication went quite well and we were able to produce results in a reasonable amount of time.		1	4	0/1	1
swp	2	6	0	Im Vordergrund stand dabei die Entscheidung über die Aufgabenaufteilung auf die Gruppen, sowie die Frage nach den Daten, die wir bekommen.	The focus was on deciding how to divide tasks among the groups, as well as what data we would get.		0	3	0	0
swp	2	7	0	Unsere Präsentation ist deutlich besser geworden.	Our presentation improved significantly.		1	5	2	2
swp	2	7	0	Wir haben uns in unserer Kleingruppe und in der Gesamtgruppe getroffen.	We met in our small group and in the whole group.		0	3	0	0
swp	2	7	0	Wir haben eine große Entscheidung getroffen, wie wir an unser Projekt ran gehen und ich denke es war die richtige.	We made a great decision on how to approach our project and I think it was the right one.		1	4	2	2
swp	2	8	0	Das ganze Team war dabei.	The whole team was there.		0	3	0	0
swp	2	8	0	Wir haben die Env. zusammen besprochen und ich habe die Präsi für diese Woche vorbereitet.	We discussed the Env. together and I prepared the Präsi for this week.		0	3	0	0
swp	2	8	0	Ich habe mich freiwillig gemeldet weil ich lernen möchte bessere Folien zu erstellen und ich möchte besser im präsentieren werden.	I volunteered because I want to learn to make better slides and I want to get better at presenting.		1	3	0/2/3/	0
swp	2	9	0	Gemeinsam mit den Teammitgliedern haben wir die Umgebung für das Projekt eingerichtet, weil wir sie präsentieren müssen.	Together with the team members we set up the environment for the project because we have to present it.		0	3	0	0
swp	2	10	0	Die gelösten Aufgaben umfassen die Datensatzsuche und das Verstehen.	The tasks solved include record search and understanding.		0	3	0	0
swp	2	10	0	Auch die Definition der Umgebung war etwas, das wir definieren mussten.	Defining the environment was also something we had to define.		0	3	0	0
swp	2	11	0	Wir haben die beiden Papers gelesen und relevante Information über Datasets gesammelt.	We read the two papers and collected relevant information about datasets.		0	3	0	0
swp	2	11	0	Dann haben wir die Recherche der Datasets zwischen uns gesplittet und jeder hat den zugewissenen Dataset analysiert.	Then we split the dataset research between us and everyone analyzed the dataset they knew.		0	3	0	0
swp	2	12	0	Wir haben uns Nachmittag bzw. Abends getroffen und sind über die Meilensteine gegangen.	We met in the afternoon or evening and went over the milestones.		0	3	0	0
swp	2	12	0	Auch haben wir die Accounts angelegt und uns eingelesen.	We also created the accounts and read in.		0	3	0	0
swp	2	12	0	Die Kommunikation kam manchmal schleppend voran und das testen der Daten war noch holprig.	Communication was sometimes slow and testing the data was still bumpy.		1	2	2	2
swp	2	13	0	Ich habe alleine versucht, die Umgebung für unser Projekt einzurichten.	I tried on my own to set up the environment for our project.		0	3	0	0
swp	2	13	0	Dabei bin ich auf viele Errors gestoßen und versuche jetzt letztendlich ein anderes Betriebssystem über eine Virtualbox zu verwenden, um die Fehler zu umgehen.	In the process, I encountered many errors and am now ultimately trying to use a different operating system via a virtualbox to work around the bugs.		1	2	0/2	0
swp	2	13	0	Bei Problemen habe ich über unseren Teamchat aber viel Hilfe bekommen und fühle mich deshalb gut unterstützt und nicht alleine gelassen.	However, when I encountered problems, I received a lot of help via our team chat and therefore feel well supported and not left alone.		1	4	3	2
swp	2	14	0	Unseres Team hat gemeinsam an das Problem gearbeitet, wir haben uns per Discord kommuniziert und an den optimalen Lösungen gedacht.	Our team worked together on the problem, we communicated via Discord and thought of the best solutions.		1	3	0	0
swp	2	0	1	Wir müssen uns noch belesen.	We still need to read up.		1	3	2022-05-04 00:00:00	4
swp	2	1	1	I learned how to use port-forwarding and tmux libraries, and I learned more about the different datasets that are used in NLP.	I learned how to use port-forwarding and tmux libraries, and I learned more about the different datasets that are used in NLP.		0	3	0/2	2
swp	2	1	1	Seeing how things works closely gave me more confidence, I would like to learn more and work on myself more in that regard and better understand how big models can be trained and used in production, when training locally is no longer possible.	Seeing how things works closely gave me more confidence, I would like to learn more and work on myself more in that regard and better understand how big models can be trained and used in production, when training locally is no longer possible.		1	4	5	2
swp	2	2	1	Wir haben quasi gelernt uns in einem echten Feld der ML unterstützten Verhaltensforschung zu engagieren und arbeiten mit echten Technologien mit einem klaren Ziel welches letztendlich auch zur Umsetzung in eine aktiv genutze Software führen soll.	We have learned to engage in a real field of ML supported behavioral research and work with real technologies with a clear goal which should eventually lead to the implementation of actively used software.		1	3	2022-03-02 00:00:00	3
swp	2	2	1	Wir könnten vielleicht schneller arbeiten, liegen  aber im Gesamtbild gut in der Zeit.	We could perhaps work faster, but in the big picture we are well on time.		1	6	2022-03-02 00:00:00	3
swp	2	3	1	Ich habe etwas über das Thema gelernt und über verschiedene Programme/	I have learned something about the topic and about different programs/		1	3	0	0
swp	2	3	1	Tools.	tools.		0	3	0	0
swp	2	3	1	Viel mehr ist diese Woche eigentlich nicht passiert.	Not much else really happened this week.		0	3	0	0
swp	2	4	1	Da wir immer noch nicht anfangen konnten das Projekt richtig zu starten haben wir wieder vor allem organisatorische Skills gelernt.	Since we still couldn't start the project properly we learned again mainly organizational skills.		0	3	3/0	0
swp	2	4	1	Ein bisschen Hintergrundrecherche hat mir aber auch neues Wissen vermittelt welches mir auch in der Praxis helfen kann.	A little bit of background research gave me new knowledge which can also help me in practice.		1	3	2022-03-02 00:00:00	2
swp	2	5	1	Es sind eher mehr Fragen aufgekommen.	More questions came up.		0	3	0	0
swp	2	5	1	Was aber auch gut ist, weil wir durch die Fragen eher eine Richtung kriegen.	But that's also good, because the questions give us more of a direction.		1	4	2022-03-01 00:00:00	1
swp	2	6	1	Bis hier hin habe ich gelernt, dass die deutsche Bürokratie einem viele Steine in den Weg legen kann und Dinge nicht wirklich einfacher macht.	Up to this point I have learned that the German bureaucracy can put many obstacles in your way and does not really make things easier.		1	2	2	2
swp	2	6	1	Auf jeden Fall ist es besser proaktiv zu werden und nicht nur auf die Arbeit anderer zu hoffen.	In any case, it is better to become proactive and not just hope for the work of others.		1	3	2	2
swp	2	7	1	Ich habe gelernt, das Google Doc noch aufmerksamer zu lesen und auf alle Details zu achten, die Professor hören möchte.	I have learned to read the Google Doc even more carefully and pay attention to all the details Professor wants to hear.		1	3	0/2	2
swp	2	7	1	Das ist uns gut gelungen und werden wir denke ich weiterführen können.	This has worked well for us and I think we will be able to continue.		1	4	2022-01-02 00:00:00	1
swp	2	7	1	Es stehen viele Besprechungen in unserer Gruppe an.	We have a lot of meetings coming up in our group.		0	3	0	0
swp	2	8	1	Viel dazu gelernt habe ich diese Woche nicht.	I didn't learn much this week.		0	2	0	0
swp	2	8	1	Aber das liegt an dem Projekt und dem Flaschenhals den wir leider haben.	But that's because of the project and the bottleneck we have unfortunately.		1	2	3	3
swp	2	9	1	Ich habe etwas über die Formen der Bienenzellen gelernt.	I did learn something about the shapes of the bee cells.		0	3	0	0
swp	2	9	1	Wir hätten aktiver in Teambesprechungen sein sollen.	We should have been more active in team meetings.		1	2	2022-04-02 00:00:00	4
swp	2	10	1	Derzeit habe ich gelernt, wie ich Informationen über den Datensatz finde und wie ich ihn meiner Gruppe erklären kann	Currently I have learned how to find information about the dataset and how to explain it to my group		1	3	0	0
swp	2	11	1	Ich habe gelernt wie man die Forschungs-Arbeiten analysiert.	I learned how to analyze the research work.		1	3	0	0
swp	2	11	1	Bestimmt werde ich diese Kenntnisse weiter verwenden.	Definitely, I will continue to use this knowledge.		1	4	5	5
swp	2	12	1	Ich fühle mich ein wenig besser über das Thema informiert und glaube es kann jetzt richtig losgehen.	I feel a little better informed about the subject and I think it can really start now.		1	4	2	2
swp	2	12	1	Die anfängliche Verwirrung verschwindet ein wenig und es entsteht mehr Diskussion in die ich mich einbringen kann.	The initial confusion is disappearing a bit and more discussion is emerging that I can get involved in.		1	4	2	2
swp	2	13	1	Ich habe endlich mein dürftiges Wissen über das Arbeiten mit der Commandline in Windows und Linux aufgefrischt und fühle mich durch die vielen Lösungsansätze, die ich ausprobiert habe, nun sehr flüssig in der Umgebung.	I have finally refreshed my meager knowledge of working with the commandline in Windows and Linux and now feel very fluent in the environment due to the many approaches I have tried.		1	4	2022-03-02 00:00:00	2
swp	2	14	1	Viel neues habe ich nicht gelernt, aber selbstbewusster geworden - schon.	I haven't learned much new, but I have more confidence.		1	6	2	2
swp	2	14	1	Dadurch, dass wir mehr Info zu der Aufgabe bekommen haben und schon etwas konkretes uns nachdenken konnten.	Because we got more information about the task and could already think about something concrete.		1	3	0/3	0
swp	2	14	1	Zur Verbesserung habe ich noch nichts vor, weil das immer noch Anfang von dem Projekt ist.	I don't have any plans to improve it yet, because it's still the beginning of the project.		1	3	0	0
swp	2	14	1	Später könnte ich die Frage beantworten.	Later I could answer the question.		0	3	0	0
swp	2	0	2	Wir sich noch zeigen.	It remains to be seen.		0	3	0	0
swp	2	1	2	Meine vorherigen Annahmen über die Schwierigkeit der Aufgabe waren völlig falsch.	My previous assumptions about the difficulty of the task were completely wrong.		1	6	2	2
swp	2	2	2	Alles gut soweit.	Everything is fine so far.		0	4	2022-01-02 00:00:00	1
swp	2	3	2	Die Kommunikation ist weiterhin etwas problematisch.	Communication is still a bit problematic.		1	2	2022-01-02 00:00:00	1
swp	2	3	2	Von den anderen scheint nicht so viel zu kommen...	Not so much seems to come from the others....		1	2	2/0	0
swp	2	3	2	Ich hoffe das ändert sich zum besseren...	I hope this changes for the better....		1	6	2022-05-04 00:00:00	4
swp	2	4	2	Die langsame Projektplanung vverschiebt unsere Milestones langsam immer weiter nach hinten.	The slow project planning is slowly pushing our milestones further and further back.		1	2	0/3	3
swp	2	4	2	Das ist aktuell unser größtes Problem, ist aber hoffentlich in absehbarer Zeit lösbar.	This is currently our biggest problem, but hopefully it can be solved in the foreseeable future.		1	6	3/4/5/	4
swp	2	5	2	Eine Herausforderung ist, dass wir noch nicht Wissen in welche Richtung wir gehen müssen.	One challenge is that we don't yet know in which direction we need to go.		1	2	2	2
swp	2	5	2	Das ist insofern schlecht, weil wir noch nicht sicher wissen.	That's bad in that we don't know for sure yet.		1	2	2022-01-02 00:00:00	1
swp	2	5	2	Aber es muss nicht sein, dass etwas schlechtes bei der Beseitigung der Ungewissheit passiert.	But it doesn't have to be that something bad happens in eliminating the uncertainty.		1	3	0/3	0
swp	2	5	2	Also... wait and see.	So...wait and see.		0	3	0	0
swp	2	6	2	Die größte Herausforderung ist die Kommunikation unter den Gruppen und die Absprache mit den externen Interessenvertretern.	The biggest challenge is communication among the groups and coordination with external stakeholders.		1	2	2	2
swp	2	6	2	Da sorgt dafür, dass man generell mehr Zeit für Absprachen und Details einplanen muss.	That's where it ensures that you generally have to spend more time on agreements and details.		1	3	0/3	0
swp	2	7	2	Kommunikation mit allen Beteiligten ist langwierig.	Communication with all stakeholders is lengthy.		1	2	2022-02-01 00:00:00	1
swp	2	7	2	Wir brauchen dringend Infos!	We need info urgently!		0	1	0/2	0
swp	2	7	2	Ich habe Sorge den Zeitplan nicht einhalten zu können und später in Stress zu geraten.	I'm worried about not being able to meet the schedule and getting stressed out later.		1	2	2022-02-01 00:00:00	2
swp	2	8	2	Bei der Aufgabenlösung war am schwierigsten unsere konkrete Aufgabe herauszufinden.	When solving the task, the hardest part was figuring out our specific task.		1	2	2	2
swp	2	8	2	Ich finde die Formulierung nicht konkret genug.	I think the wording is not concrete enough.		1	2	2	2
swp	2	8	2	Gerade für Präsentationen und für inhaltliche wäre eine Checklist mit den Inhalten über die wir berichten sollen sehr holfreich.	Especially for presentations and for content, a checklist of what we are supposed to report on would be very holfish.		1	3	2022-01-04 00:00:00	1
swp	2	9	2	Wir konnten uns nicht entscheiden, wie wir die Daten kennzeichnen.	We couldn't decide how to label the data.		1	3	2/0	0
swp	2	9	2	Ich denke, das ist uns allen ein bisschen unklar.	I think that's a little unclear to all of us.		1	2	0/2/3/	3
swp	2	10	2	Es wurde noch kein Problem gefunden, vielleicht könnte die Gruppenkoordination verbessert werden.	No problem found yet, maybe group coordination could be improved.		1	6	2	2
swp	2	11	2	Schwierigkeit hatte ich beim Verstehen der Datasets , wie diese erstellt wurden und wie verwendet.	Difficulty I had in understanding the datasets , how they were created and how used.		1	2	2	2
swp	2	12	2	Die zeitlichen Abgrenzungen zwischen den Aufgaben ist noch sehr verschwommen und es wird das bearbeitet was bis zum nächsten Meilenstein gebraucht wird und nicht so viel mehr.	The time delineations between tasks is still very blurry and what is needed until the next milestone is worked on and not so much more.		1	2	2	2
swp	2	12	2	Es ist schwierig sich auf mehrere Probleme zu konzentrieren wenn man noch bei anderen in der Diskussion steckt und sich uneinig ist.	It is difficult to focus on multiple problems when you are still in discussion and disagreement with others.		1	2	2	2
