class_id	student_id	sentence_id	sentence	one hot	Label
FAU	1	10	NACH	0	0.0
FAU	1	11	"Bearbeitungsphase
"	0	0.0
FAU	1	12	-Kompetenzstand etwas höher als vorher	0	0.0
FAU	1	13	"
-Lösung eher unzufriedenstellend 
-Reflektion verständlich, erklärt den Umfang meiner Bearbeitung zur Aufgabe"	0/2	2.0
FAU	2	0	Vor der Bearbeitung des Themenfelds, habe ich mir vorgenommen, das Thema in zwei Wochen zu bearbeiten.	0/2	2.0
FAU	2	1	In der ersten Woche nahm ich mir die Bearbeitung der Folien der ersten Vorlesung vor und in der zweiten Woche die Folien der zweiten Vorlesung.	0/2	2.0
FAU	2	2	Anschließend sollte ich beide Vorlesungen verstanden haben, sodass ich zwei Zusammenfassungen erstellen kann.	/0/2/4	4.0
FAU	2	3	"
"	0	0.0
FAU	2	4	Beim Bearbeiten der PP Folien ist mir aufgefallen, dass mir manches schon bekannt vorkommt, da manche Inhalte bereits in Psychologie behandelt wurden.	/0/2/3	3.0
FAU	2	5	Es ist mir nicht sehr schwierig gefallen, die Inhalte zu verstehen.	0	0.0
FAU	2	6	Durch Markieren und Notizen auf den Folien, die ich selbst erstellt habe, war es gut möglich, die Zusammenhänge alle zu verstehen und die Methoden der Diagnostik nachzuvollziehen.	/0/2/3	3.0
FAU	2	7	"Mit diesem Wissen ist es mir anhand der Folien gelungen, zwei Zusammenfassungen zu dem Themengebiet zu erstellen, die mir bei der Bearbeitung der Aufgabe helfen sollten.
"	0	0.0
FAU	2	8	Die Bearbeitung der Aufgaben ist mir nicht so einfach gefallen, weshalb ich die Folien und die Zusammenfassungen zur Hilfe nehmen musste.	2/3	3.0
FAU	2	9	Schließlich ist mir die Bearbeitung der Aufgaben gelungen.	4	4.0
FAU	2	10	"
"	0	0.0
FAU	2	11	Nach der Bearbeitung des Themas kann ich sagen, dass ich die Thematik insgesamt verstehe, jedoch manche Details noch nicht ganz verinnerlicht habe, weshalb wenige Wiederholungen des Themas nötig sein werden.	2/4	4.0
FAU	2	12	"
"	0	0.0
FAU	2	13	Nach Sichtung des der Musterlösung der Aufgabe ist mir aufgefallen, dass die Musterlösung deutlich umfangreicher als meine Lösung ist.	0/2	2.0
FAU	2	14	Dennoch sind viele Gemeinsamkeiten zu erkennen und ich habe das Wesentliche erfasst.	0/2	2.0
FAU	3	0	1.	0	0.0
FAU	3	1	"Situation vor und während der Bearbeitung:
"	0	0.0
FAU	3	2	Zuerst habe ich mir einen groben Überblick über die Folien verschafft, um ein Gefühl für die Thematik zu bekommen.	0	0.0
FAU	3	3	Daraufhin habe ich mich intensiver mit den einzelnen Folien und deren Inhalten beschäftigt.	0	0.0
FAU	3	4	Leider fiel es mir teilweise schwer, Zusammenhänge zwischen den Folien herzustellen und die Inhalte sinnvoll einzuordnen.	0/2	2.0
FAU	3	5	Dementsprechend war es etwas schwerer die Inhalte sinngemäß in der Aufgabe anzuwenden und wiederzugeben.	0/2	2.0
FAU	3	6	Generell finde ich es einfacher die Inhalte (schneller) zu verstehen und zu verknüpfen, wenn sie vorher durch eine Lehrperson erklärt und besprochen werden.	/0/2/3	3.0
FAU	3	7	Zudem war nicht vollständig klar, nach welchen Inhalten in der Aufgabe gefragt wurden.	0/2	2.0
FAU	3	8	"
Situation nach der Bearbeitung:"	0	0.0
FAU	3	9	"
Die Probleme, welche vorher geschildert wurden, spiegeln sich in der Bearbeitung wider."	0	0.0
FAU	3	10	Im Vergleich zum Feedback, scheint meine Bearbeitung ziemlich oberflächlich.	0/2	2.0
FAU	3	11	Somit besteht die Bearbeitung eher aus nennen von einzelnen Aspekten, als diese miteinander zu verknüpfen und deren Beziehung zueinander zu erklären.	0/2	2.0
FAU	3	12	Die Argumentation zu Teil zwei hätte ausführlicher und unter Angaben von Literatur erfolgen müssen.	0/2	2.0
FAU	4	0	Reflexion zur Situation vor der Bearbeitung der Thematik	0	0.0
FAU	4	1	Einführung in die Pädagogische Diagnostik	0	0.0
FAU	4	2	"
"	0	0.0
FAU	4	3	Nach Bearbeitung des Lernmoduls 5 war ich gespannt, welche Aufgabenstellung mich erwarten wird.	1	1.0
FAU	4	4	0	0	0.0
FAU	4	5	Es viel mehr schwer mich nach Lernmodul 4 und die dazugehörige Aufgabe mich zu konzentrieren, weshalb ich diese Bearbeitung erst mal vertagte.	0/2	2.0
FAU	4	6	Diese Thematik ist sehr relevant für den Schulalttag, weshalb ich mich sehr dafür interessierte und nach einer Pause direkt begann.	0/2	2.0
FAU	4	7	"

"	0	0.0
FAU	4	8	Reflexion zur Situation während der Bearbeitung der Thematik	0	0.0
FAU	4	9	Einführung in die Pädagogische Diagnostik	0	0.0
FAU	4	10	"
"	0	0.0
FAU	4	11	Während der Bearbeitung von Aufgabe 1 fühlte ich mich sicher.	0/1	1.0
FAU	4	12	"Bei der Aufgabe 2 brauchte ich einen Moment mich in die Situation hinein zu versetzen, was mir aber sehr viel Spaß gemacht hat.  Da die Aufgabe 2 offener gestaltet war, war ich mir unsicher, ob ich auf dem richtigen Lösungsweg bin. 

Reflexion"	/0/1/3	3.0
FAU	4	13	zur	0	0.0
FAU	4	14	Situation	0	0.0
FAU	4	15	nach der Bearbeitung der Thematik	0	0.0
FAU	4	16	"Einführung in die Pädagogische Diagnostik
"	0	0.0
FAU	4	17	"Da mir die Vorgehensweise der Aufgaben vom vorherigen Lernmoduls bereits bekannt war, brauchte ich weniger Zeit bei dem schriftlichen Teil der Aufgabe.
"	/0/2/3	3.0
FAU	4	18	Beim Lesen der Reflexion sind mir allerdings einige Dinge aufgefallen, die ich in meiner Lösungsanfertigung vergessen oder nicht derartig ausgeführt hatte.	0/2	2.0
FAU	5	0	Reflexion zu Aufgabe 21	0	0.0
FAU	5	1	"
-Gute Struktur über das Feld der Pädagogischen Diagnostik dargestellt
-Nächstes mal etwas ausführlicher erklären"	0/2	2.0
FAU	5	2	Reflexion zu Aufgabe 2:	0	0.0
FAU	5	3	"
"	0	0.0
FAU	5	4	"-Gut erkannt, dass es informelle Verfahren waren und alle aufgezählt
-Richtig geschildert, dass die Mitarbeit der Schüler fehlt
"	/0/2/3	3.0
FAU	5	5	-Kreative Gedanken zur Verbesserung	0	0.0
FAU	6	0	"Reflexion zur Situation vor der Bearbeitung der Thematik Einführung in die Pädagogische Diagnostik (Lerninhalte, schriftliche Aufgabe, …)
Als ich diese Aufgabe sah, war ich wieder einmal sehr gespannt und voller vorfreunde, obwohl die beschriebene Situation wahrscheinlich nicht so oft vorkommt, dürfte Sie dennoch in der Theorie eine sehr Interessante sein."	0/2	2.0
FAU	6	1	Auch dürften ähnliche Situationen in bestimmten Klassen vorkommen.	0/2	2.0
FAU	6	2	"Ich freue mich, diese Veranstaltung aus der Sicht eines Lehrers zu sehen, denn ich möchte auch wissen, wie ich die Situation jetzt analysiere bzw. was ich tun würde.
"	1/3/5	5.0
FAU	6	3	Auch die Pädagogische Diagnostik ist ein Feld, welches mich persönlich sehr interessierte.	0/2	2.0
FAU	6	4	Allerdings konnte ich bis zu dem Zeitpunkt der Erarbeitung keine Erfahrung in diesem Feld sammeln.	0/2	2.0
FAU	6	5	Für die Vorbereitung zu dieser Aufgabe habe ich ebenfalls, als allererstes die Aufgabenstellung sehr intensiv durchgelesen und mir Notizen angefertigt.	0	0.0
FAU	6	6	Die Vorlesungsfolien, sowie die Vorlesungsvideos und auch die angeführte Literatur sah ich mir gründlich an und setzte mich mit diesen auseinander.	0	0.0
FAU	6	7	"Durch diese Auseinandersetzung fühlte ich mich sehr gut auf das Thema vorbereitet.

Reflexion zur Situation während der Bearbeitung der Thematik Einführung in die Pädagogische Diagnostik (Lerninhalte, schriftliche Aufgabe, …)
"	0/2	2.0
FAU	6	8	Um dieses Thema zu bearbeiten, wurde uns eine Aufgabe in Form einer Fallstudie gestellt.	0	0.0
FAU	6	9	Ich habe diese Fallstudie sorgfältig gelesen und mir Notizen gemacht.	0	0.0
FAU	6	10	In der Fallstudie markierte ich die Schlussfolgerungen, die ich zur Aufgabe hatte.	0	0.0
FAU	6	11	Anschließend überlegte ich mir anhand der Tipps, wie ich die Struktur gestalten soll.	0/2	2.0
FAU	6	12	"Dabei befolgte ich im Wesentlichen die gegebenen Ratschläge und begann, die aus dem Text gewonnenen Notizen in ein Schema einzufügen, in dem ich die Aufgabe lösen wollte.
"	/0/2/5	5.0
FAU	6	13	Mit den Lerninhalten habe ich meiner Meinung nach, keine größeren Probleme gehabt.	0/2	2.0
FAU	6	14	"Da ich, wie gesagt, in diesem Bereich interessiert bin, ist mir der Erwerb von Kenntnissen in diesem Bereich meiner Meinung nach etwas einfacher als in anderen Bereichen. 
"	2/3	3.0
FAU	6	15	Auch mit der Aufgabenbearbeitung bin ich meiner Meinung nach gut zurechtgekommen und deshalb sehr zufrieden.	1/2/3	3.0
FAU	6	16	"Da dies die zweite Aufgabe in diesem Format war kam ich auch besser zurecht und wusste sofort, wie ich die Aufgabe bearbeiten will. 
"	/0/2/3	3.0
FAU	6	17	Zu der gesamten Aufgabenstellung kann ich wiederholt sagen, dass ich mich auch mit dieser Lernmethode sehr wohl fühle.	0/2	2.0
FAU	6	18	Jedoch würde ich ungern alle Themen auf diese Art und Weise bearbeiten.	0/2	2.0
FAU	6	19	"
"	0	0.0
FAU	6	20	Sehr viel Spaß beim Bearbeiten der Aufgabe hat mir das Gefühl gebracht mich in diese Situation hineinzuversetzen und mir ernsthafte Gedanken darüber zu machen, wie ich in solch einer Situation handeln würde.	0/2	2.0
FAU	6	21	Während der Bearbeitung der Aufgabe war ich zudem höchst konzentriert.	0/2	2.0
FAU	6	22	"
"	0	0.0
FAU	6	23	"Reflexion zur Situation nach der Bearbeitung der Thematik Klassenmanagement und Umgang mit Störungen (Lerninhalte, vor allem schriftliche Aufgabe, …)
"	0	0.0
FAU	6	24	Nach Abschluss der schriftlichen Arbeit kann man sagen, dass sich mein Kenntnisstand stark erhöht hat.	0/2	2.0
FAU	6	25	Dies liegt, wie bereits bei der vorherigen Reflexion beschrieben daran, dass man nicht nur monoton die Vorlesungsfolien lernt, sich Literatur zu dem Thema anschaut oder sich die Vorlesungsvideos anschaut.	0/2	2.0
FAU	6	26	Sondern eben auch einen praktischen Bezug zu der Aufgabe hat.	2	2.0
FAU	6	27	Insofern bin ich mit der Lerneinheit sehr zufrieden.	1	1.0
FAU	6	28	Die Aufgabe hatte aber ebenfalls einen praktischen Bezug, was bedeutet, dass die persönlich erlernten Inhalte komplett neu aufgegriffen und angewendet werden.	0/2	2.0
FAU	6	29	"Dies festigt dieses erlernte Wissen und gleichzeitig können Sie es anwenden
"	0/2	2.0
FAU	6	30	Die Arbeit, die ich eingereicht habe, ist meiner Meinung nach im Vergleich zum erhaltenen Feedback definitiv eine Arbeit mit dem richtigen Ansatz.	0/2	2.0
FAU	6	31	An der kurzen Skizzierung der Pädagogischen Diagnostik ist anhand meines Vergleiches mit dem erhaltenen Feedback eine gelungene, weshalb ich sehr zufrieden mit dieser bin.	/0/1/2	2.0
FAU	6	32	Auch die von der Lehrkraft angewendeten Vorgehensweisen habe ich erkannt und genannt sowie beschrieben.	0	0.0
FAU	6	33	Des Weiteren konnte ich auch Ihr zahlreiche Vorgehensweisen empfehlen.	0	0.0
FAU	6	34	Außerdem habe ich wie bei der letzten Reflexion angemerkt ein Literaturverzeichnis eingefügt.	0	0.0
FAU	6	35	Aus diesen Gesichtspunkten halte ich die Abgegeben Arbeit für gut.	0/2	2.0
FAU	6	36	Zudem hat sich, genau wie bei der anderen Aufgabe, mein Wissen auf diesem Themengebiet deutlich erweitert, welches ich auch als sehr positiv betrachte.	0/2	2.0
FAU	7	0	"Bei meiner Aufgabenbewältigung habe ich zunächst die Definition für
pädagogische Diagnostik vernachlässigt und diese nicht in meinem
Lösungsansatz aufgeführt. 
"	0	0.0
FAU	7	1	"Außerdem ist eine gute Idee, durchgängige Leistungserhebungen durchzuführen,
um dauerhaft den Leistungsstand der Schülerinnen und Schüler abzufragen. 
Diese haben somit nicht die Möglichkeit, sich lange auf ihren Erfolgen auszuruhen
und das behandelnde Thema zu vernachlässigen. 
Aus dem Fallbeispiel hatte ich leider falsch entnommen, dass ausschließlich
mündliche Abfragen durchgeführt werden."	2/3	3.0
FAU	7	2	"Ansonsten hätte ich der Lehrkraft
ebenfalls geraten, ihre Leistungserhebungen zu variieren und den Kindern somit
ein facettenreiches Angebot darzulegen, um die möglichen Schwächen der
Schülerinnen und Schüler in mündlichen bzw schriftlichen Tests auszugleichen."	2/4	4.0
FAU	8	0	"Vor der Bearbeitung:
-Umgang mit Störungen spielt eine zentrale Rolle als Lehrer
-Konfliktpotenzial  in der Schule ist sehr hoch
"	2	2.0
FAU	8	1	"-Deswegen ist das Thema sehr spannend, um Katastrophenszenarien zu verhindern
"	0/2	2.0
FAU	8	2	"-Vor dem Anschauen des Vorlesungsvideos hatte ich wenig Ahnung, wie man auf solche Störungen reagiert
"	0/2	2.0
FAU	8	3	-Schwierige Ausgangssituation beim Bearbeiten der Aufgabe:	0/2	2.0
FAU	8	4	"Keine Idee wie man vorgehen könnte
-Nach dem Anschauen des Vorlesungsvideos: Erstes Bild, wie man sowas lösen könnte 

"	0/2	2.0
FAU	8	5	Während der Bearbeitung:	0	0.0
FAU	8	6	"
-Sehr Konzentriertes Arbeiten war wichtig, um auf solche Situationen entsprechend vorbereitet zu sein und darauf reagieren zu können
-Zuert wusste ich nicht, wie ich mit der Aufgabe anfangen sollte
-Denkanstöße gaben wichitige hinweise
"	/0/2/3	3.0
FAU	8	7	"-Insgesamt komme ich mit dem selbstständigen Lernen auf Studon relativ gut zurecht, da wenn man nicht weiß, was man machen soll kann man ja die Denkanstöße benutzen
"	2/3	3.0
FAU	8	8	"-Das macht das Bearbeiten einfacher
-Das einzige Problem mit dem selbständigen Lernen ist, sich einen Termin zu machen, wann man was machen möchte, da man es ja dann machen kann wann man will und dadurch ist natürlich die Gefahr hoch, sich die Aufgabe immer wieder aufzuschieben

"	0/2/3	3.0
FAU	8	9	Nach der Bearbeitung:	0	0.0
FAU	8	10	"
-Mein Kompetenzstand zu diesem Thema hat sich vergrößert
-Jedoch stark Verbessungswürdig beim Thema der Reaktion
"	0/2	2.0
FAU	8	11	"-Bei der Analyse:
i.Richtiges definieren der Störung 
ii"	0	0.0
FAU	8	12	"Ausgangslage korrekt analysiert
iii"	0/2	2.0
FAU	8	13	"Richtiges analysieren, was die Lehrkraft möglicherweise versäumt hat
iv."	0	0.0
FAU	8	14	Die Konfliktart jedoch nicht korrekt identifiziert:	0/2	2.0
FAU	8	15	"

-Bei der Reaktion:
i.Insgesamt nicht gut genug bearbeitet
ii"	2/4	4.0
FAU	8	16	"Handlungsmatrix nicht richtig benutzt 
iii"	0/2	2.0
FAU	8	17	Qualitätsmermale	0	0.0
FAU	8	18	"gutes Intervenieren ausgelassen
"	0	0.0
FAU	8	19	iv	0	0.0
FAU	8	20	"Präventionsmaßnahmen zur zukünftigen Vermeidung solcher Situationen nicht außer Acht gelassen
"	0/2	2.0
FAU	8	21	v.	0	0.0
FAU	8	22	"Disziplanarmßnahmen nicht entprechend genug
"	0/2	2.0
FAU	8	23	vi	0	0.0
FAU	8	24	"Insgesammt stark verbesseungswürdig bei der richtigen Reaktion

-Die Refelxion ist eine gute Ergänzung zu diesem Thema
-Mir ist bewusst, was ich besser hätte machen können, nicht nur im Hinblick der Reaktion
"	2/4	4.0
FAU	8	25	"-Insegsammt bin ich mit der Reflexion zufrieden
"	1/4	4.0
FAU	8	26	"-Dadurch kann ich den Stoff nochmals vertiefen
"	0/2	2.0
FAU	8	27	-Abschließend:	0	0.0
FAU	8	28	"Im Bereich der Prävention bin ich gut aufgestellt, bei der Reaktion habe ich durch die Reflexion an Kenntnissen dazugewonnen, diese sind jedoch noch ausbaufähig
-Mit dem Thema werde ich mich weiterhin beschäftigen und dazulernen"	/0/2/5	5.0
FAU	9	0	"Wie bin ich mit den Lernmodulen zurechtgekommen?
Die Lernmodule waren gut verständlich und gut zum Lernen, mit den Videos gab es ein Paar Probleme, weshalb ich nur noch die Folien durchgelesen habe und auf die Videos verzichtet habe."	2/3	3.0
FAU	9	1	"Dennoch bin ich gut mit dem Lernmaterial zurechtgekommen

"	0/2	2.0
FAU	9	2	Wie bin ich mit der Aufgabenstellung zurechtgekommen?	0/2	2.0
FAU	9	3	"
Die Aufgabenstellung konnte ich gut bearbeiten."	0/2	2.0
FAU	9	4	Bei der ersten Aufgabe musste ich dennoch kurz in meine Notizen schauen, da ich die Folien vor längerem bearbeitet hatte.	0/3	3.0
FAU	10	0	1.Reflexion zur Situation vor Bearbeitung der Thematik	0	0.0
FAU	10	1	An die Aufgabe bin ich leider nicht so motiviert herangegangen.	0/2	2.0
FAU	10	2	Das hat verschiedene Gründe.	0	0.0
FAU	10	3	Erstens hat mich das erste Thema Klassenmanagement mehr interessiert, und ich hatte eine größere Verbindung dazu, und zweitens waren es dieses Mal zwei Vorlesungen zu den Thema.	0/3	3.0
FAU	10	4	Auf die Aufgabe habe ich mich trotzdem gut vorbereitet gefühlt.	0/2	2.0
FAU	10	5	Die Aufgabenstellung habe ich verstanden und bearbeitet.	0/2	2.0
FAU	10	6	"2.Reflexion zur Situation während der Bearbeitung der Thematik
Das Bearbeiten hat mir nicht so viel Spaß gemacht, und ich habe die zwei Vorlesungen an zwei verschiedenen tagen angeschaut."	0/2	2.0
FAU	10	7	Notizen habe ich trotzdem mitgeschrieben und auch für die Bearbeitung der Aufgabe genutzt.	0/2	2.0
FAU	10	8	Durch soziale Medien wurde ich aber wieder leicht abgelenkt, da Nachrichten ankamen.	2	2.0
FAU	10	9	"
"	0	0.0
FAU	10	10	"Die Aufgabe und die Reflexion der Aufgabe wurden beide an einen Tag bearbeitet, aber die Vorlesungsvideos wurden nicht an dem selben Tag geschaut.
"	0/2	2.0
FAU	10	11	Die gesamte Aufgabenstellung war recht schön für mich, da man durch aufgezeichnete Videos pausieren kann, um sich essen zu machen, oder andere Dinge zu erledigen, ohne etwas zu verpassen.	/0/2/3	3.0
FAU	10	12	"Außerdem kann man sie bearbeiten wann man will, und ist nicht an einen gewissen Tag bzw. Uhrzeit gebunden

3.Reflexion zur Situation nach der Bearbeitung der Thematik"	0/2	2.0
FAU	10	13	"Mein Kompetenzstand zu den Thema ist zwar nicht so gut wie der zu dem Klassenmanagement, aber trotzdem sollte er vorhanden sein.
Mit der Bearbeitung der Aufgabe habe ich mir deutlich schwerer getan als mit der ersten, und auch mit meiner schriftlichen Lösung bin ich nicht so zufrieden, aber ich wollte sie am Ende einfach nur abgeben, und wollte deswegen nicht so viel begründen oder erklären."	/0/2/3	3.0
FAU	10	14	"Deshalb sind auch manche Antworten so abgehackt und ohne Verbindungen geschrieben. 
"	0	0.0
FAU	10	15	"In dieser Reflexion war ich relativ ehrlich zu mir selbst, und habe zugegeben, dass ich beim bearbeiten der Aufgabe auch auf die Zeit geschaut habe, und relativ schnell fertig sein wollte.
"	2	2.0
FAU	10	16	Deswegen ist auch die gesamte Lerneinheit Einführung in die Pädagogische Diagnostik nicht so erfolgreich gewesen wie die erste Lerneinheit	2/3	3.0
FAU	11	0	"1. Reflexion zu der vorgegangenen Lern- und Arbeitsphase zur Thematik „Einführung in die
Pädagogische Diagnostik“
Bevor ich die Aufgabenstellung bearbeitet habe, habe ich den Themenbereich mit Hilfe der
Arbeitsmaterialien auf Studon bearbeitet.
Nachdem das geschafft war, habe ich mit der Aufgabenstellung begonnen."	0/2	2.0
FAU	11	1	"Da ich bei der
ersten Aufgabe, nicht alles auswendig wusste, habe ich die Arbeitsmaterialien zur Hilfe
genommen."	0/2	2.0
FAU	11	2	Die Aufgabe war nochmals eine sehr gute Vertiefung zum Thema.	0/2	2.0
FAU	11	3	"Bei der zweiten
Aufgabe habe ich überlegt, was beiden Seiten helfen kann, damit die Noten besser werden."	0/2	2.0
FAU	11	4	"
Hier habe ich mich hineinversetzt und überlegt, was würde ich machen?"	2	2.0
FAU	11	5	Hier war ist mein	0	0.0
FAU	11	6	"
Hauptkriterium"	0	0.0
FAU	11	7	die bessere Zusammenarbeit zwischen Schüler und Lehrer	0	0.0
FAU	11	8	"
"	0	0.0
FAU	11	9	"Nachdem ich die Aufgabe erledigt hatte, habe ich alles nochmals nach Rechtschreibfehlern
und sonstigen Fehler kontrolliert."	0	0.0
FAU	11	10	Schlussendlich habe ich die Reflexion geschrieben.	0	0.0
FAU	11	11	"
Ich bin mit der Aufgabe sehr gut zurechtgekommen und es gab keine Probleme, um die
Aufgabe gut lösen zu können."	0/2	2.0
FAU	12	0	Die Aufgaben hätten wiederum mehr auf Grundlage von Expert*innen und deren Theorien bearbeitet werden sollen, zusätzlich natürlich ein ausführliches Quellenverzeichnis.	0/2	2.0
FAU	12	1	Zudem hätte ich die Skizzierung deutlich ausführlicher machen sollen, wobei unklar ist, wie lang eine Skizzierung sein sollte.	0/2	2.0
FAU	12	2	Die zweite Aufgabe hätte ebenfalls ausführlicher und mit mehr Literatur sein sollen.	0/2	2.0
FAU	13	0	Reflexion	0	0.0
FAU	13	1	Themenbereich 5: Einführung in die Pädagogische Diagnostik	0	0.0
FAU	13	2	"Vor der Arbeitsphase: 
Ich bin motiviert an die Aufgabenstellung herangegangen und habe mir vorgenommen, den Themenbereich 5 sowie die folgende Reflexion zu erarbeiten, ich habe mir also selbst ein Lernziel gesetzt.
Da mir bewusst war, dass ich in meinem späteren Lehrerberuf immer wieder mit unterschiedlichen Leistungsniveaus in einer Klasse konfrontiert werde, habe ich den Themenbereich als sehr wichtig wahrgenommen und wollte ihn dementsprechend auch konzentriert bearbeiten."	2/3	3.0
FAU	13	3	Dass ich dafür eine Studienleistung erbringen muss, welche ich selbst erarbeite, habe ich als angemessen empfunden.	0/2	2.0
FAU	13	4	"
"	0	0.0
FAU	13	5	Vor Beginn der Bearbeitung habe ich mein Telefon weggelegt, damit ich nicht durch eingehende Nachrichten und aufleuchtende Notifikationen gestört werde.	1/2/3	3.0
FAU	13	6	"Während der Arbeitsphase:
Da ich mir eine ruhige und störungsfreie Arbeitsumgebung gesucht habe, konnte ich die Aufgaben zum Themenbereich 5 konzentriert bearbeiten. 
Ich hatte keine Probleme damit, die Aufgabenstellung zu verstehen, jedoch fand ich das Lernmodul auf StudOn sehr hilfreich."	/0/2/3	3.0
