coll_lecture	collection	text	s_id	sentence	english	options gibbs	new gibbs
swp	5	0	16	Seitdem lege ich weniger Wert mehr auf Inhalt der Uni-Projekte, sondern nur noch auf die Persönlichkeit der Gruppenmitglieder.	Since then I put less emphasis on the content of the university projects, but only on the personality of the group members.	0	0
swp	5	0	17	Was seltsam ist, da mein Selbstverständnis von Professionalität die Arbeit mit jedem Menschen beinhaltet und der Inhalt im Vordergrund stehen sollte.  Leider haben die Dozenten damals auch nicht klar kommuniziert, welche Erwartungen (und Feedback) an die Gruppe gestellt wurden, sodass ich immer wieder von 0 anfangen musste.	Which is strange, since my self-image of professionalism involves working with everyone and content should be the main focus.  Unfortunately, the lecturers at the time also didn't clearly communicate what the expectations (and feedback) were for the group, so I had to keep starting from 0.	1/2/3/	3
swp	5	0	18	Was wiederum die Dozenten zu schnippischen und herablassenden Kommentaren verleitet hat – dann sind die Dozenten jedes Mal „aus Zeitgründen“ aus dem Raum gestürmt und somit konnte ich mich nicht Mal verteidigen oder erklären.	"Which in turn led the lecturers to make snide and condescending comments - then each time the lecturers stormed out of the room ""due to time constraints"" and so I couldn't even defend or explain myself."	0/1/2/	0
swp	5	0	19	Total verrückt.	Totally crazy.	2022-02-01 00:00:00	1
swp	5	0	20	Unterm Strich, gelernt habe ich wenig, also insgesamt keine so wertvolle Erfahrung.	Bottom line, learned little, so overall not such a valuable experience.	2/3/4/	4
swp	5	0	21	Aber ich bin optimistisch, dass dieses Softwareprojekt anderes sein wird, alleine die gegebene Literatur spricht dafür, dass dieses Projekt besser aufgebaut ist.	But I am optimistic that this software project will be different, the given literature alone suggests that this project is better constructed.	1	1
swp	5	1	0	Projekt aus der VL ML4DataScientists mussten in zweier oder dreier Gruppen von Datensatz Aufbereitung bis zur Auswertung der genommenen Modelle alles selbst machen.	Project from VL ML4DataScientists had to do everything by themselves in groups of two or three from data set preparation to evaluation of taken models.	0	0
swp	5	1	1	Es war so gut, da man das wissen, welches man erlangt hatte in der VL anwenden und vertiefen  konnte.	It was so good because you could apply and deepen the knowledge you gained in the VL.	2022-03-02 00:00:00	3
swp	5	2	0	Heute hatten wir unser zweites Meeting.	Today we had our second meeting.	0	0
swp	5	2	1	Wir haben die Themen verteilt und verschiedene Gruppen gebildet.	We distributed the topics and formed different groups.	0	0
swp	5	2	2	Ich hatte mirim Voraus und auch während dem Meeting viele Gedanken gemacht welches Thema mich interessieren würde aber gleichzeitig auch nicht zu viel Arbeit ist.	I had thought a lot in advance and during the meeting which topic would interest me but at the same time would not be too much work.	0	0
swp	5	2	3	Es war eine angenehme Atmossphäre, aber mir haben trotzdem einige Details zu den genauen Themen gefehlt, weshalb das Meeting auch anstrengend war.	It was a pleasant atmosphere, but I still lacked some details about the exact topics, which is why the meeting was exhausting.	0/2	2
swp	5	2	4	Das ist jedoch ziemlich normal, da in so einer großen Gruppe die einzelnen Fragen/Details immer ein wenig untergehen.	However, that's pretty normal since in such a large group the individual questions/details always get lost a bit.	2022-03-02 00:00:00	3
swp	5	2	5	Ich hätte noch mehr Fragen stellen können um das Ganze zu verändern, insgesamt bin ich aber recht zufrieden da wir erst am Anfang sind.	I could have asked more questions to change the whole thing, but overall I am quite satisfied as we are only at the beginning.	1/3/4/	4
swp	5	2	6	In der Zukunft sollten die Details in kleineren (spezialisierten) Gruppen stattfinden und nur ab und zu in der ganz großen Gruppe.	In the future, the details should be in smaller (specialized) groups and only occasionally in the very large group.	4	4
swp	5	2	7	Das stimmt auch mit dem aktuellen Zeitplan überein.	This is also in line with the current schedule.	2	2
swp	5	2	8	Ich bin gespannt was die Zukunft bereit hält.	I am excited to see what the future holds.	1	1
swp	5	3	0	Mein Lieblingsprojekt war meine Bachelorarbeit, in welcher ich einen Klassifikator für Bilder von Kleidungsstücken entwickelte.	My favorite project was my bachelor thesis, in which I developed a classifier for images of garments.	0	0
swp	5	3	1	Rückblickend war es ein wirklich sehr aufwendiges Projekt, es half mir allerdings dabei, Praxiserfahrung in einem realen ML-Projekt zu sammeln.	Looking back, it was a really time-consuming project, however, it helped me gain practical experience in a real ML project.	2	2
swp	5	3	2	Die wöchentlichen Meetings mit anderen Projektmitgliedern dienten dazu, sich gegenseitig auf den neuesten Stand zu bringen, indem Fortschritte und bestehende Probleme angesprochen wurden.	Weekly meetings with other project members served to update each other by addressing progress and existing problems.	0	0
swp	5	3	3	Frustrierend war ein Problem mit der GPU, genauer mit der installierten CUDA-Version, welches dafür sorgte, dass die Modelle nicht korrekt lernten.	Frustratingly, there was an issue with the GPU, more specifically the CUDA version installed, which was causing the models to not learn correctly.	0/1	1
swp	5	3	4	Ich benötigte etwa 2 Wochen, um dies zu beseitigen.	It took me about 2 weeks to get this fixed.	0	0
swp	5	3	5	Ich hätte mir etwas mehr Unterstützung bei diesem Problem gewünscht, leider konnten mir einige Projektpartner nicht weiterhelfen.	I would have liked a little more support with this problem, unfortunately some project partners could not help me.	2022-04-01 00:00:00	4
swp	5	3	6	Ich hätte früher mit dem Schreiben anfangen sollen, da das Arbeitspensum kurz vor der Deadline sehr hoch war.	I should have started writing earlier because the workload was very heavy just before the deadline.	2022-04-03 00:00:00	4
swp	5	3	7	Glücklicherweise konnte ich die Experimente relativ schnell durchführen, sodass ich sie nur noch in den Text einarbeiten musste.	Fortunately, I was able to do the experiments relatively quickly, so I just had to incorporate them into the text.	0/1	1
swp	5	3	8	In Zukunft werde ich mir mehr Deadlines setzen und meine Arbeit in Pakete einteilen, sodass ich einen besseren Überblick über den Zeitplan habe.	In the future, I will set more deadlines and divide my work into packets so that I have a better overview of the schedule.	5	5
swp	5	4	0	Was gut gelaufen ist:	What went well:	2	2
swp	5	4	1	Wenn ich alleine oder mit kompetenten und ähnlich motivierten Partnern gearbeitet habe, hat es sehr viel Spaß gemacht während das Ergebnis des Projekts auch erstklassig war.  Was nicht so gut gelaufen ist:	When I worked alone or with competent and similarly motivated partners, it was a lot of fun while the result of the project was also top notch.  What didn't go so well:	0/2	2
swp	5	4	2	In einigen Fällen wird man mit mehreren Leuten, die man nicht kennt, in Gruppen geworfen und erhält am Ende eine Gruppennote zusammen.	In some cases, you are thrown into groups with several people you don't know and end up with a group grade together.	0	0
swp	5	4	3	Dabei halten sich die meisten Gruppenmitglieder allerdings mit beliebigen Ausreden von der Gruppenarbeit fern.	However, in doing so, most group members stay away from the group work with arbitrary excuses.	0	0
swp	5	4	4	Das kann man sich auch gänzlich sparen.	You can also avoid this altogether.	0	0
swp	5	4	5	Lieblingsprojekt: Bachelorarbeit.	Favorite project: Bachelor thesis.	0	0
swp	5	4	6	Das Thema war super spannend und ich konnte frei mich in Themen einarbeiten, die mich interessieren und meine eigene Struktur/mein eigenes Tempo wählen.	The topic was super exciting and I could freely delve into topics that interested me and choose my own structure/pace.	0/1	1
swp	5	4	7	Das Resultat vorzutragen hat auch ungemein Spaß gemacht.	Presenting the results was also a lot of fun.	1	1
swp	5	4	8	Einbringen in das Softwareentwicklungs-Kursprojekt: Spannendes Thema aussuchen und unbedingt mit ähnlich motivierten und ähnlich kompetenten Leuten in einem Team arbeiten.	Contribute to the software development course project: choose exciting topic and definitely work in a team with similarly motivated and similarly competent people.	5	5
swp	5	4	9	Mehr Druck auf Leute ausüben, welche sich von der Arbeit entziehen wollen und zur Not fragen, ob sich der produktive Teil der Gruppe abspalten darf.	Put more pressure on people who want to escape from the work and, if necessary, ask if the productive part of the group can split off.	5	5
swp	5	5	0	Während des Mustererkennungs-kurses 2020 hatte unsere Gruppe etwaige Probleme mit dem Verständnis des Lehrstoffs, was sich dementsprechend negativ auf die Bearbeitung der Hausaufgaben ausgewirkt hat.	During the pattern recognition course 2020, our group had some problems with understanding the subject matter, which had a negative effect on the completion of the homework.	0/2	0
swp	5	5	1	Wir hatten etliche Stunden zusammen gebraucht um diese zu bearbeiten, haben jedoch versucht herauszufinden, wo das Verständnisproblem bei jedem von uns liegt und daran gemeinsam gearbeitet.	It took us quite a few hours together to work on them, but we tried to find out where the comprehension problem was for each of us and worked on it together.	0	0
swp	5	5	2	Auch wenn das 5LP Modul für uns 20Lp an Zeitaufwendung war und sich einige Studis über die Hausaufgaben beschwert haben, haben wir es dennoch überwunden und extrem viel dazu gelernt, vorallem wie man gut als Gruppe zusammenarbeitet und sich gegenseitig hilft.	Even though the 5LP module was a 20Lp time commitment for us and some students complained about the homework, we still overcame it and learned an extreme amount, especially how to work well together as a group and help each other.	4	4
swp	5	5	3	Ich würde sogar so weit gehen und sagen, dass das Modul mit Abstand mir persönlich am meisten geholfen hat, wie ich mit Problemen dieser Art umgehe, diese bewältige und vorallem an auftretende Defizite arbeite und nicht einfach ignoriere/andere Gruppenmitglieder daran arbeiten lasse.	I would even go so far as to say that the module helped me personally by far the most in how to deal with problems of this kind, how to overcome them and especially how to work on deficits that arise and not just ignore them/let other group members work on them.	2022-04-03 00:00:00	3
swp	5	5	4	(Geschrieben (und dabei gelitten) auf meinem Handy, sorry also für etwaige Rechtschreibfehler)	(Written (and suffered) on my cell phone, so sorry for any spelling mistakes).	1	1
swp	5	6	0	In vergangenen Projekten habe mir oft Gedanken machen müssen, wie ich ein Problem korrekt und strukturiert angehe.	In past projects, I've often had to think about how to approach a problem correctly and in a structured way.	0	0
swp	5	6	1	Es ist ein gutes Gefühl, wenn man ein gut strukturiertes und übersichtliches Projekt gemacht hat.	It is a good feeling when you have done a well structured and clear project.	1	1
swp	5	6	2	Es ermutigt einen weiterzumachen, jedoch ist der Weg dahin manchmal anstrengend.	It encourages you to continue, but the way to get there is sometimes exhausting.	2022-03-02 00:00:00	2
swp	5	6	3	Oft habe ich vorschnell angefangen praktisch an einem Projekt zu arbeiten, was zu einer schlechten Struktur und Planung führte.	Often I have started to work practically on a project hastily, which led to poor structure and planning.	0/3	3
swp	5	6	4	In der Zukunft will ich darauf achten meine Projekte nachhaltig zu strukturieren.	In the future, I want to make sure to structure my projects in a sustainable way.	5	5
swp	5	7	0	Ich habe dieses besondere Projekt während meines Bachelors.	I have this particular project during my bachelor.	0	0
swp	5	7	1	Besonders deshalb, weil es das erste Projekt war, an dem ich gearbeitet habe.	Especially because it was the first project I worked on.	0	0
swp	5	7	2	"Integrated crop protection management - Application deployed on ML and DL model"" Projektanzeige für das indische Landwirtschaftsministerium,"	"Integrated crop protection management - Application deployed on ML and DL model"" Project advertisement for Indian Ministry of Agriculture,"	0	0
swp	5	7	3	Smart India Hackathon, Uttar Pradesh, Indien.	Smart India Hackathon, Uttar Pradesh, India.	0	0
swp	5	7	4	Es war also ein Gruppenprojekt und ich musste sowohl mit Junioren als auch mit Senioren zusammenarbeiten, und ja, es war interessant, denn ich war der Teamleiter.	So it was a group project and I had to work with juniors as well as seniors and yes it was interesting because I was the team leader.	2	2
swp	5	7	5	Ich stand zwar unter Druck, aber am Ende des Projekts hatte ich viel zu reflektieren.	I was under pressure, but at the end of the project I had a lot to reflect on.	0/4	4
swp	5	7	6	Durch die Arbeit an diesem Projekt konnte ich Erfahrungen im technischen Bereich sammeln, ganz abgesehen davon, dass ich auch schlecht abgeschnitten habe.	Working on this project gave me experience in the technical field, not to mention that I also did poorly.	4	4
swp	5	7	7	Manchmal fühlte ich mich minderwertig, aber dieses Projekt hat mir gezeigt, dass ich durch die Arbeit im Team mehr lernen kann.	Sometimes I felt inferior, but this project showed me that I can learn more by working in a team.	2022-03-01 00:00:00	3
swp	5	7	8	"Deshalb freue ich mich darauf, in diesem Software-Projekt als Team zu arbeiten und mehr technisches Wissen zu erlangen sowie ein soziales Netzwerk aufzubauen..... """	"Therefore, I am looking forward to working as a team in this software project and gaining more technical knowledge as well as building a social network..... """	2022-05-04 00:00:00	4
swp	5	8	0	Meine früheren Projekte während meines Masterstudiums waren im Kurs Maschinelles Lernen, in dem wir im ersten Projekt verschiedene überwachte Lernalgorithmen angewandt haben, wie z. B. Entscheidungsbäume, KNN, SVM, Naive Bayes und neuronale Netze.	My previous projects during my master's degree were in the Machine Learning course, where we applied different supervised learning algorithms in the first project, such as decision trees, KNN, SVM, Naive Bayes, and neural networks.	0	0
swp	5	8	1	Das Gute an dem Projekt war, dass es sich um überwachtes Lernen handelte, so dass wir zwar Beschriftungen hatten, aber bei 14 Merkmalen war es schwierig, diese zu visualisieren.	The good thing about the project was that it was supervised learning, so we had labels, but with 14 features, it was difficult to visualize them.	2	2
swp	5	8	2	Ich würde das Wissen über maschinelles Lernen, das ich in dem vorherigen Projekt erworben habe, für dieses Projekt nutzen.	I would use the machine learning knowledge I gained in the previous project for this project.	5	5
swp	5	9	0	Wenn ich es recht erinnere, hatte ich gar nicht so viele Projekte als Student.	If I remember correctly, I didn't have that many projects as a student.	0	0
swp	5	9	1	Vielleicht so fünf plus minus zwei.	Maybe like five give or take two.	0	0
swp	5	9	2	Eins hatte ich an der HU mit einem Griechen namens Babis und wir haben Differenzialgleichungssysteme untersucht mit denen er in seiner Masterarbeit die Schwingung von Stimmlippen modellierte.	I had one at HU with a Greek named Babis and we studied differential equation systems with which he modeled the vibration of vocal folds in his master's thesis.	0	0
swp	5	9	3	Das Projekt war ganz nice weil ich zum ersten Mal sehr nah an der Forschung war und nicht nur irgendeine Anwendung bauen sollte.	The project was quite nice because for the first time I was very close to research and not just building some application.	2022-03-02 00:00:00	3
swp	5	9	4	Die meisten Projekte waren Einzelprojekte, aber ein Projekt mit einem Kommilitonen erinnere ich noch gut, weil es mir sehr viel Spass gemacht hat.	Most of the projects were individual projects, but one project with a fellow student I remember very well because it was a lot of fun.	2022-03-02 00:00:00	3
swp	5	9	5	Die Aufgabenteilung war klar definiert und wir haben viele Nächte durchgearbeitet.	The division of tasks was clearly defined and we worked through many nights.	0/2	2
swp	5	9	6	Der soziale Aspekt war mit damals schon sehr wichtig.	The social aspect was already very important to me back then.	2	2
swp	5	9	7	Das motiviert!	That was motivating!	1	1
swp	5	9	8	Ich hätte in meinem Studium lieber mehr solcher Teamarbeiten gehabt.	I would have preferred to have more teamwork like that in my studies.	4	4
swp	5	9	9	Ich hatte eigentlich nur ein paar richtig gute Kurse, vielleicht wäre mein Studium insgesamt noch spannender abgelaufen, wenn es mehr Gruppenprojekte gegeben hätte?	I actually only had a few really good courses, maybe my studies would have been more exciting overall if there had been more group projects?	2022-04-03 00:00:00	3
swp	5	9	10	Ich denke das sind die beiden Hauptpfeiler der Arbeit die ich mag: Forschung und Gruppen.	I think those are the two main pillars of work I like: research and groups.	2022-02-01 00:00:00	2
swp	5	9	11	In meiner Arbeit heute versuche ich soziale Verknüpfungen zu erstellen, um meinen Mitarbeitern ein ähnliches Gefühl zu vermitteln, aber ich weiß nicht ob das jeder überhaupt so empfindet.	In my work today I try to make social connections to give my coworkers a similar feeling, but I don't know if everyone even feels that way.	0	0
swp	5	9	12	Vielleicht sollte ich eine Umfrage im Lab dazu machen?	Maybe I should do a survey in the lab about this?	0	0
swp	5	10	0	Bisher habe ich schon einige Uniprojekte gemacht.	So far, I've done a few university projects.	0	0
swp	5	10	1	"Die meisten waren auf ein Semester beschränkt und liefen nicht ""Vollzeit""."	"Most were limited to one semester and did not run ""full time""."	0	0
swp	5	10	2	Eines davon war jedoch in Vollzeit für 6 Wochen ein Softwareprojekt.	However, one of them was full time for 6 weeks on a software project.	0	0
swp	5	10	3	Meine Gefühle waren abhängig von dem Projekt und teilweise unterschiedlich.	My feelings were dependent on the project and sometimes varied.	1	1
swp	5	10	4	Dies war meistens davon abhängig mit wem ich zusammen gearbeitet habe.	This was mostly dependent on who I was working with.	2	2
swp	5	10	5	Bei einigen Projekten kannte ich davor bereits die anderen Studierenden gut und war mit ihnen befreundet.	For some projects, I already knew the other students well beforehand and was friends with them.	0	0
swp	5	10	6	Dadurch konnten wir uns gut absprechen und haben Fait die Workload verteilt.	This allowed us to coordinate well and Fait distributed the workload.	2	2
swp	5	10	7	Die meisten dieser Projekte waren sehr erfolgreich.	Most of these projects were very successful.	2	2
swp	5	10	8	Auch wenn teilweise ich Leistungsdruck auf mir gespürt habe und die Zeit sehr knapp war.	Even if partly I felt performance pressure on me and the time was very tight.	0	0
swp	5	10	9	Das Softwareprojekt war sehr intensiv.	The software project was very intensive.	2	2
swp	5	10	10	Ich habe viel gelernt, jedoch war ich auch zeitweise genervt, da ich das Gefühl hatte, dass andere Teilnehmenden nicht selbst Verantwortung übernommen haben und immer mich gefragt haben und so nicht so eigenständig waren.	I learned a lot, but I was also annoyed at times, because I had the feeling that other participants did not take responsibility themselves and always asked me and so were not so independent.	1/3/	3
swp	5	10	11	Dies war mir teilweise zu viel, da ich mich gerne auf meine eigenen Aufgaben fokussiert hätte.	This was sometimes too much for me, as I would have liked to focus on my own tasks.	2022-03-01 00:00:00	3
swp	5	10	12	Dafür hatten wir in diesem Projekt zeitlich keinen Stress.	On the other hand, we didn't have any stress in terms of time in this project.	0	0
swp	5	10	13	Ein Stück weit ist es normal, dass einige weniger Erfahrung und Selbstsicherheit mitbringen als andere und deswegen nicht selbständig arbeiten.	To a certain extent it is normal that some have less experience and self-confidence than others and therefore do not work independently.	3	3
swp	5	10	14	Mögliche Lösungen dazu sind dies anzusprechen und gemeinsam zu überlegen, was Gründe dafür sind und eventuell Subtasks, die alleine erledigt werden sollen zu bestimmen.	Possible solutions to this are to address this and to consider together what the reasons for this are and possibly to determine subtasks that should be done alone.	3	3
swp	5	10	15	Außerdem ist es sicher hilfreich ermutigendes Feedback zu geben und so die anderen Gruppenmitglieder in Ihrem Tun zu bestärken.	It is also helpful to give encouraging feedback to the other group members to encourage them in their work.	2022-03-02 00:00:00	3
swp	5	10	16	Techniken wie Pairprogramming könnten hilfreich dabei sein.	Techniques like pair programming could be helpful.	3	3
swp	5	10	17	Gleichzeitig ist sicher auch Rückhaltung auf meiner Seite gegeben.	At the same time, there is certainly restraint on my part.	0	0
swp	5	10	18	Das bedeutet die Kontrolle abgeben und nicht in allen Prozessen mitzumischen.	That means relinquishing control and not getting involved in all the processes.	3	3
swp	5	11	0	"Bisher habe ich an der Universität an größeren Projekten einmal ein Spiel in C geschrieben, das ein Klon von ""Doodle Jump"" war, und ein Projekt zur Fake-News Erkennung gemacht."	"So far at the university on larger projects, I once wrote a game in C that was a clone of ""Doodle Jump"" and did a project on fake news detection."	0	0
swp	5	11	1	Beide Projekte haben Spaß gemacht.	Both projects were fun.	1	1
swp	5	11	2	An dem Spiel war gut, dass das Projekt nur eine Woche gedauert hat und man trotzdem schon ein halbwegs gut aussehendes funktionierendes Produkt hatte.	What was good about the game was that the project only took a week and you still had a reasonably good looking working product already.	2	2
swp	5	11	3	Schlecht daran war, dass ich damals noch wenig Erfahrung mit Git hatte und wir in der Gruppe viele merge-Konflikte gehabt hatte, die uns viel Zeit gestohlen haben.	What was bad about it was that I had little experience with Git at the time and we had had many merge conflicts in the group that stole a lot of our time.	2	2
swp	5	11	4	Bei Fake-News Erkennung habe ich neue Sachen über Teilbereiche im Machine Learning gelernt.	In Fake News Detection, I learned new things about sub-areas in Machine Learning.	0	0
swp	5	11	5	Dort war die Kommunikation in der Gruppe nicht immer ganz optimal.	There, the communication in the group was not always quite optimal.	0/2	2
swp	5	11	6	Das hat wahrscheinlich zum Großteil daran gelegen, dass wir uns nur online getroffen haben (wegen Corona).	This was probably largely due to the fact that we only met online (because of Corona).	3	3
swp	5	11	7	Mein Lieblingsprojekt war eher das Projekt über Fake-News Erkennung, da es komplexer und dadurch auch etwas spannender war.	My favorite project was rather the project about fake news detection, because it was more complex and therefore a bit more exciting.	2022-03-02 00:00:00	2
swp	5	11	8	Von meinen bisherigen Erfahrungen kann ich das Version-management mit Git, das Arbeiten mit Linux und die Erfahrungen mit Machine Learning Frameworks aus dem Fake-News Erkennungsprojekt einbringen.	From my previous experience, I can bring version management with Git, working with Linux, and experience with machine learning frameworks from the fake news detection project.	0	0
swp	5	12	0	Überwachtes Klassifizierungsprojekt in ML für Data Science Klasse.	Supervised classification project in ML for Data Science class.	0	0
swp	5	12	1	Das Ziel ist es, vorherzusagen, ob das Einkommen einer Person 50.000 Dollar pro Jahr übersteigt oder nicht.	The goal is to predict whether or not a person's income exceeds $50,000 per year.	0	0
swp	5	12	2	Anfangs war es schwer, sich vorzustellen, wie man einen Prozess erstellt, und ich war ziemlich frustriert.	At first it was hard to imagine how to create a process and I was quite frustrated.	1	1
swp	5	12	3	Es gab jedoch einen erfahrenen Teamkollegen, der den Prozess organisierte und die Ideen für das weitere Vorgehen mitteilte.	However, there was an experienced teammate who organized the process and shared ideas on how to proceed.	0	0
swp	5	12	4	Das war eine gute Erfahrung, denn danach konnte ich ein allgemeines Data-Science-Projekt selbständig organisieren.	That was a good experience, because after that I was able to organize a general data science project independently.	2022-03-02 00:00:00	3
swp	5	12	5	Es war jedoch nicht gut in dem Sinne, dass der erfahrene Teamkollege sich viel mehr anstrengte, weil die anderen, mich eingeschlossen, nicht effizienter arbeiten konnten, weil ihnen die Erfahrung fehlte.	However, it was not good in the sense that the experienced teammate put in much more effort because the others, including me, could not work more efficiently because they lacked experience.	3	3
swp	5	12	6	Daher habe ich herausgefunden, dass der Organisationsprozess der Schlüssel zu schnellen Fortschritten ist.	Therefore, I found out that the organizing process is the key to making fast progress.	4	4
swp	5	12	7	Ich hätte mir mehr Zeit nehmen können, um das Projekt vollständig zu verstehen, indem ich die Codes selbst implementiere.	I could have taken more time to fully understand the project by implementing the codes myself.	4	4
swp	5	12	8	Wenn es noch einmal vorkommt, werde ich viel mehr Zeit investieren, um das Projekt zu verstehen.	If it happens again, I will invest much more time to understand the project.	2022-05-03 00:00:00	5
swp	5	13	0	Ich hatte bis jetzt nicht viele Projekte an der Uni.	I haven't had many projects in college so far.	0	0
swp	5	13	1	Sie liefen insgesamt gut und haben Spaß gemacht.	Overall, they went well and were fun.	2022-01-04 00:00:00	4
swp	5	13	2	Es kam vor, dass andere Gruppenmitglieder sehr unmotiviert waren und ich finde es etwas kompliziert, mit so etwas umzugehen.	It happened that other group members were very unmotivated and I find it a bit complicated to deal with something like that.	1	1
swp	5	13	3	Ich habe auch einmal sehr viel Zeit in etwas investiert, was sich mit einem simplen sanity-check am Anfang hätte vermeiden können.	I also once invested a lot of time in something that could have been avoided with a simple sanity-check at the beginning.	4	4
swp	5	13	4	Daraus habe ich recht viel gelernt, was ich häufig anwenden kann (bestimmt auch bei diesem Projekt).	I learned quite a lot from that, which I can apply frequently (certainly also in this project).	2	2
swp	5	13	5	Generell ist die Zusammenarbeit mir anderen sehr angenehm und häufig ertragvoller als etwas alleine zu machen.	In general, working with others is very pleasant and often more rewarding than doing something on my own.	2	2
swp	5	14	0	In meiner bisherigen Uni-Laufbahn habe ich an zwei wesentlichen Projekten teilgenommen, zum einen einem Mühlespiel mit Computergegenspieler (Spielbaum) in Rust sowie einem Projekt zu Predictive Maintenance zusammen mit einem Unternehmen, welches Dichtungen für Schiffsschrauben herstellt.	In my university career so far, I have participated in two major projects, one was a mill game with computer counterpart (game tree) in Rust and the other was a predictive maintenance project together with a company that manufactures seals for ship propellers.	0	0
swp	5	14	1	Das erste Projekt in Rust war anfangs etwas überfordernd für mich, da ich noch am Anfang meines Studium stand (2. Semester) und diese Programmiersprache nie zuvor verwendet hatte.	The first project in Rust was a bit overwhelming for me in the beginning, because I was still at the beginning of my studies (2nd semester) and had never used this programming language before.	2022-03-01 00:00:00	3
swp	5	14	2	Dazu kam teilweise schlechtes Zeitmanagement, welches zu viel Druck gegen Ende des Projektes geführt hat.	In addition, there was some bad time management, which led to a lot of pressure towards the end of the project.	0	0
swp	5	14	3	Obgleich ich mit dem Endprodukt für den derzeitigen Studienstand zufrieden bin, würde ich jetzt einiges anders machen.	Although I am satisfied with the final product for the current state of my studies, I would do some things differently now.	2022-03-01 00:00:00	3
swp	5	14	4	Das zweite Projekt war hingegen ein ML-Problem im letzten Semester, welches wir mit einem LSTM angegangen sind.	The second project, on the other hand, was an ML problem in the last semester, which we tackled with an LSTM.	0	0
swp	5	14	5	Uns wurden zahlreiche Sensordaten zur Verfügung gestellt, aus welchen wir möglichst vorhersagen sollten, ob eine Dichtung gefährdet ist, in den nächsten drei Monaten kaputt zu gehen.	We were given a lot of sensor data from which we were supposed to predict, if possible, whether a seal was at risk of breaking in the next three months.	0	0
swp	5	14	6	Frustrierend war hierbei zum einen, dass ein Großteil der Zeit nur zum Reinigen und Vereinheitlichen der Daten (60 Attribute, viele verschiedene Versionen) benötigt wurden, und zum anderen, dass es weder meiner noch irgendeiner anderen Gruppe gelungen ist, brauchbare Ergebnisse zu erzielen, was vermutlich daran lag, dass die Daten es so einfach nicht hergeben.	What was frustrating here was, on the one hand, that much of the time was spent just cleaning and standardizing the data (60 attributes, many different versions), and, on the other hand, that neither my group nor any other group managed to get usable results, which was probably due to the fact that the data just didn't give it.	0/2	2
swp	5	15	0	Bisherige Erfahrungen an der Uni	Previous experience at the university	0	0
swp	5	15	1	Das größte Problem an bisherigem Projekten für mich war oft die Strukturierung.	The biggest problem on previous projects for me was often the structuring.	2	2
swp	5	15	2	Manchmal waren eher offenere fragen gestellt und die genauere Auslegung war offen.	Sometimes more open-ended questions were asked and the more specific interpretation was open-ended.	0	0
